epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,gamma,fix_streak,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,n_dd_pr,n_dd_cp
17,187473.39999890327,-3961767.5118777747,3349008.478762619,3698310.134344523,0,0,1,1,1,1,1,0.410326877803925,0.4452051436850443,0.47448398039738765,24,2,0.009723692086034613,0.44035505766591293,0.44035505766591293,2.5090347739191885,nan,nan,0.34202483138372114,0,14,5.913331706485027,8,0,0,0
18,187473.59999990463,-3961767.5137057616,3349008.480433438,3698310.1326217763,0,0,1,1,1,1,1,0.410354850876535,0.44512431099009464,0.4716772243757297,24,3,0.009723692086034613,0.4375951778669978,0.4375951778669978,2.514689931157883,nan,nan,0.34206514475198485,0,14,5.912396199877778,8,0,0,0
19,187473.79999899864,-3961767.514757045,3349008.482852832,3698310.1320817536,0,0,1,1,1,1,1,0.4103599168838387,0.44512122942900995,0.4697026660815739,24,4,0.009723692086034613,0.435604091490377,0.435604091490377,2.520548661168739,nan,nan,0.3420693701558257,0,14,5.912298191913842,8,0,0,0
20,187474.0,-3961767.535455877,3349008.468472705,3698310.1658400274,0,0,1,1,1,1,1,0.43734280091198335,0.4743005901140554,0.5006746646257721,24,0,0.010185057198209864,0.46595778917121833,0.46595778917121833,2.2756251463817416,0.010185057198209864,0.003078632401802122,0.45876028897226423,0,14,3.9796036534207433,8,12,24,23
21,187474.20000004768,-3961767.534378275,3349008.468682915,3698310.1664784546,0,0,1,1,1,1,1,0.4374140470416177,0.47421706263645325,0.5010462583736357,24,1,0.010185057198209864,0.4665965217587415,0.4665965217587415,2.2781413890179567,nan,nan,0.4641600823937151,0,14,3.90421646389504,8,0,0,0
22,187474.39999890327,-3961767.5331975142,3349008.467896863,3698310.1670835065,0,0,1,1,1,1,1,0.4374389808286206,0.4741206310912422,0.5020012280308666,24,2,0.010185057198209864,0.4677506855482874,0.4677506855482874,2.2835672534007174,nan,nan,0.46467634762506604,0,14,3.8972487450468756,8,0,0,0
23,187474.59999990463,-3961767.532145144,3349008.4681354673,3698310.166208065,0,0,1,1,1,1,1,0.43744932069168746,0.47403882937503183,0.5011993366376928,24,3,0.010185057198209864,0.4671211328864154,0.4671211328864154,2.2897793113669795,nan,nan,0.46472927416171705,0,14,3.8965361867613035,8,0,0,0
24,187474.79999899864,-3961767.5361895966,3349008.473651824,3698310.1696357415,0,0,1,1,1,1,1,0.4374431976312604,0.47403724624481186,0.5006511646596083,24,4,0.010185057198209864,0.4662898839463417,0.4662898839463417,2.296211963217214,nan,nan,0.4647348137126182,0,14,3.8964616267881036,8,0,0,0
25,187475.0,-3961767.5455049183,3349008.45571488,3698310.184165578,0,0,1,1,1,1,1,0.45851293729700554,0.499129638781937,0.5232631380526533,24,0,0.015154685888536348,0.4859745836370387,0.4859745836370387,2.100742351298557,0.015154685888536348,0.003909016541148032,0.5747069815185534,0,14,2.7799255009565766,8,12,24,23
26,187475.20000004768,-3961767.5484867017,3349008.4616673267,3698310.1862161634,0,0,1,1,1,1,1,0.458417288122661,0.4991749775665006,0.5215786137509091,24,1,0.015154685888536348,0.4840686279962996,0.4840686279962996,2.103467666059401,nan,nan,0.5816305848723743,0,14,2.7209497614696665,8,0,0,0
27,187475.39999890327,-3961767.552682449,3349008.4703279953,3698310.185942963,0,0,1,1,1,1,1,0.4584287511518336,0.49887479914794336,0.5162398436628315,24,2,0.015154685888536348,0.47872022206725817,0.47872022206725817,2.109342857571816,nan,nan,0.5822787453224391,0,14,2.7155845292946608,8,0,0,0
28,187475.59999990463,-3961767.5550001427,3349008.472926307,3698310.1847848548,0,0,1,1,1,1,1,0.4584329042367598,0.49895499325634307,0.5138103726438393,24,3,0.015154685888536348,0.47605880728549266,0.47605880728549266,2.1160664318093434,nan,nan,0.5823451270207459,0,14,2.715036316739695,8,0,0,0
29,187475.79999899864,-3961767.554874261,3349008.4740378223,3698310.179869429,0,0,1,1,1,1,1,0.45843720121591797,0.49893346965166774,0.5089921675554996,24,4,0.015154685888536348,0.4713442851585177,0.4713442851585177,2.123025486545113,nan,nan,0.582351883423091,0,14,2.714980527863933,8,0,0,0
30,187476.0,-3961767.52486692,3349008.4270966565,3698310.1879293164,0,0,1,1,1,1,1,0.48141590025693454,0.5163411904007789,0.5390925149782448,24,0,0.017489028434995106,0.5085560017182554,0.5085560017182554,1.9601520741163412,0.017489028434995106,0.008148952467154013,0.6796774198812449,0,14,2.07504669926674,8,12,24,23
31,187476.20000004768,-3961767.5239195777,3349008.4254353596,3698310.1858662567,0,0,1,1,1,1,1,0.48169039821080606,0.5158726851673192,0.5372931865174357,24,1,0.017489028434995106,0.5080352030172393,0.5080352030172393,1.9630724669271715,nan,nan,0.6878227318442969,0,14,2.029192969272717,8,0,0,0
32,187476.39999890327,-3961767.5240634973,3349008.4242539783,3698310.1851094393,0,0,1,1,1,1,1,0.4817691691292258,0.5158029055152671,0.5370882408805929,24,2,0.017489028434995106,0.5080688668487248,0.5080688668487248,1.9693665152899638,nan,nan,0.6885679169987119,0,14,2.0251037871650848,8,0,0,0
33,187476.59999990463,-3961767.5244032023,3349008.4232617165,3698310.1845671916,0,0,1,1,1,1,1,0.4817928784907262,0.5157510654580556,0.5370274630945477,24,3,0.017489028434995106,0.5081290117934282,0.5081290117934282,1.9765662888032152,nan,nan,0.6886439121897433,0,14,2.0246876324315957,8,0,0,0
34,187476.79999899864,-3961767.5219637393,3349008.4205291714,3698310.179473689,0,0,1,1,1,1,1,0.48180612788302946,0.5157079351352276,0.534667429569536,24,4,0.017489028434995106,0.506168258266065,0.506168258266065,1.9840147069370986,nan,nan,0.6886519410450351,0,14,2.0246436729115893,8,0,0,0
35,187477.0,-3961767.5443863594,3349008.435964833,3698310.226078658,0,0,0,0,1,1,1,0.5025647321246146,0.5158257513799934,0.5415111818903316,24,0,0.013522539773780295,0.5315178999529636,0.5315178999529636,1.8438161101114365,0.013522539773780295,0.00252923832735965,0.765595919324691,0,14,1.6712088109207146,8,12,24,23
36,187477.20000004768,-3961767.54385904,3349008.436320101,3698310.2247169567,0,0,0,0,1,1,1,0.5024253945424256,0.5147552074001702,0.5397533406710519,24,1,0.013522539773780295,0.5302761954265205,0.5302761954265205,1.8469203725067942,nan,nan,0.7745746455712541,0,14,1.6341462676160379,8,0,0,0
37,187477.39999890327,-3961767.5442004236,3349008.438657724,3698310.22254927,0,0,0,0,1,1,1,0.5023203431397554,0.5143495746975406,0.5363198764944005,24,2,0.013522539773780295,0.5271882240772582,0.5271882240772582,1.8536088421813544,nan,nan,0.7753722427702847,0,14,1.6309308585111777,8,0,0,0
38,187477.59999990463,-3961767.548719783,3349008.4472827683,3698310.2264180062,0,0,0,0,1,1,1,0.5022678025797287,0.5143471839562578,0.534809508561509,24,3,0.013522539773780295,0.5253291566345349,0.5253291566345349,1.8612564408289947,nan,nan,0.7754554706811684,0,14,1.6305959978297644,8,0,0,0
39,187477.79999899864,-3961767.5557158096,3349008.4589984845,3698310.2326000356,0,0,0,0,1,1,1,0.5022571679679787,0.5143253727216158,0.5337752963134109,24,4,0.013522539773780295,0.5238078847147346,0.5238078847147346,1.8691644107836038,nan,nan,0.7754640716625808,0,14,1.6305613996758188,8,0,0,0
40,187478.0,-3961767.5386446337,3349008.4408662408,3698310.2274957886,0,0,0,0,1,1,1,0.5035831215512767,0.5156850897526217,0.5364150791672636,24,0,0.011883387433005243,0.5311419765222486,0.5311419765222486,1.745378527262327,0.011883387433005243,0.004346170151060653,0.8312607150210087,0,14,1.4320438019209227,8,12,24,23
41,187478.20000004768,-3961767.542932148,3349008.4497653213,3698310.2319092085,0,0,0,0,1,1,1,0.503250830326121,0.5150523855513965,0.5348488624392983,24,1,0.011883387433005243,0.5296883709326229,0.5296883709326229,1.7486574696759103,nan,nan,0.8406296752277987,0,14,1.401079468205012,8,0,0,0
42,187478.39999890327,-3961767.548287561,3349008.458744312,3698310.236752706,0,0,0,0,1,1,1,0.503228967439312,0.5151011233575166,0.5348394012135821,24,2,0.011883387433005243,0.5286193343998139,0.5286193343998139,1.7557202958672922,nan,nan,0.8414174993606691,0,14,1.3985330420299462,8,0,0,0
43,187478.59999990463,-3961767.54642623,3349008.456105176,3698310.2343751676,0,0,0,0,1,1,1,0.5032574759712573,0.5150442595323568,0.5339486044815487,24,3,0.011883387433005243,0.5281321132652127,0.5281321132652127,1.7637923736075778,nan,nan,0.841500135126936,0,14,1.3982664380715757,8,0,0,0
44,187478.79999899864,-3961767.5495254127,3349008.459020732,3698310.2414451945,0,0,0,0,1,1,1,0.5032397440825587,0.5150987460050831,0.5388377189720042,24,4,0.011883387433005243,0.5323592178458,0.5323592178458,1.7721353185995425,nan,nan,0.841507733619239,0,14,1.3982419269191788,8,0,0,0
45,187479.0,-3961767.526573934,3349008.44552341,3698310.2360131666,0,0,0,0,1,1,1,0.51042276678589,0.5166904242714173,0.5345518895382773,24,0,0.010880284356056114,0.5381958121849152,0.5381958121849152,1.6605942276116235,0.010880284356056114,0.0056926792802016605,0.879793132940238,0,14,1.2850733629584896,8,12,24,23
46,187479.20000004768,-3961767.524398598,3349008.4440353983,3698310.232068504,0,0,0,0,1,1,1,0.5102775229919697,0.5161013964913285,0.5313716299312152,24,1,0.010880284356056114,0.536024828204209,0.536024828204209,1.6640401773705098,nan,nan,0.8891275260627498,0,14,1.2586792350876759,8,0,0,0
47,187479.39999890327,-3961767.516985775,3349008.439938937,3698310.21993303,0,0,0,0,1,1,1,0.510324142752255,0.5156380913540798,0.5229343491147459,24,2,0.010880284356056114,0.5294624710580013,0.5294624710580013,1.6714605796541586,nan,nan,0.8898473331655178,0,14,1.256685892138331,8,0,0,0
48,187479.59999990463,-3961767.515499942,3349008.439160825,3698310.2144257543,0,0,0,0,1,1,1,0.5102696742924897,0.5158108599306216,0.5187835465633092,24,3,0.010880284356056114,0.5256207897373069,0.5256207897373069,1.6799375684815137,nan,nan,0.8899234542001241,0,14,1.256475435237006,8,0,0,0
49,187479.79999899864,-3961767.5145148598,3349008.4401420117,3698310.2103922567,0,0,0,0,1,1,1,0.510263201399078,0.5158205991731801,0.5149585536342794,24,4,0.010880284356056114,0.5219972012465194,0.5219972012465194,1.6886948450084132,nan,nan,0.8899310619096412,0,14,1.256454404967978,8,0,0,0
50,187480.0,-3961767.513836263,3349008.470886896,3698310.2232410363,0,0,1,1,1,1,1,0.49475065853708006,0.4610953050736744,0.4787512529589241,24,0,0.009150547594774973,0.5177761669275501,0.5177761669275501,1.586506328270255,0.009150547594774973,0.005768836596916885,0.9154876885259124,0,14,1.1899769867503465,8,12,24,23
51,187480.20000004768,-3961767.5134659866,3349008.4712105608,3698310.2221585545,0,0,1,1,1,1,1,0.4952815633942206,0.45965781092474955,0.47584922428643195,24,1,0.009150547594774973,0.5167822730104725,0.5167822730104725,1.5901127856098551,nan,nan,0.9244405702519444,0,14,1.1673058444500457,8,0,0,0
52,187480.39999890327,-3961767.511094007,3349008.470595452,3698310.2166368514,0,0,1,1,1,1,1,0.49549088544043873,0.45902098056819424,0.47118483666499156,24,2,0.009150547594774973,0.5129001179738736,0.5129001179738736,1.597876523402334,nan,nan,0.9250819957427442,0,14,1.1657126135913065,8,0,0,0
53,187480.59999990463,-3961767.509935814,3349008.473172503,3698310.2172446153,0,0,1,1,1,1,1,0.4955018312527834,0.4590620972636685,0.4709309840249489,24,3,0.009150547594774973,0.5124810589228534,0.5124810589228534,1.6067417764273502,nan,nan,0.9251452464225015,0,14,1.1655557282936617,8,0,0,0
54,187480.79999899864,-3961767.511063999,3349008.478765022,3698310.221265491,0,0,1,1,1,1,1,0.4955093566817181,0.45904009180906885,0.47184852593596915,24,4,0.009150547594774973,0.513088258481333,0.513088258481333,1.6158957818558937,nan,nan,0.9251515890474036,0,14,1.1655399983460188,8,0,0,0
55,187481.0,-3961767.5058978177,3349008.495968327,3698310.2101793303,0,0,1,1,1,1,1,0.47401423753156097,0.43909748238732593,0.4553296208415535,24,0,0.008585033416229302,0.4971169799295282,0.4971169799295282,1.5209841664072452,0.008585033416229302,0.006641307647982686,0.9391626690941934,0,14,1.1322274038117683,8,12,24,23
56,187481.20000004768,-3961767.509238311,3349008.504775773,3698310.216072676,0,0,1,1,1,1,1,0.4737842183916439,0.438313451097991,0.45586532968292937,24,1,0.008585033416229302,0.4976792586397237,0.4976792586397237,1.5247455592763002,nan,nan,0.9476957082088837,0,14,1.1120990341621508,8,0,0,0
57,187481.39999890327,-3961767.5106174955,3349008.513218766,3698310.219165996,0,0,1,1,1,1,1,0.47375179505895054,0.43812452690974557,0.45543117280010753,24,2,0.008585033416229302,0.4966215194929393,0.4966215194929393,1.5328404012693202,nan,nan,0.9482595239944702,0,14,1.1107922901235394,8,0,0,0
58,187481.59999990463,-3961767.5115744225,3349008.5163903,3698310.221689728,0,0,1,1,1,1,1,0.4737373298656113,0.43813961920853794,0.45774518793274477,24,3,0.008585033416229302,0.4986523707233498,0.4986523707233498,1.5420795819631443,nan,nan,0.9483159452420856,0,14,1.110661683962767,8,0,0,0
59,187481.79999899864,-3961767.5097380523,3349008.5153169692,3698310.2230862565,0,0,1,1,1,1,1,0.4737347580512934,0.43814096693810345,0.4622937428603519,24,4,0.008585033416229302,0.5033181868670189,0.5033181868670189,1.5516151183583888,nan,nan,0.9483216082341196,0,14,1.1106485764994705,8,0,0,0
60,187482.0,-3961767.4943723083,3349008.494272222,3698310.2146593328,0,0,1,1,1,1,1,0.47512364708985366,0.4293971393252765,0.45742998778767974,24,0,0.009732019845157905,0.5113502352420772,0.5113502352420772,1.4624488614056503,0.009732019845157905,0.009945024503950784,0.9549832285216434,0,14,1.0957360190855703,8,12,24,23
61,187482.20000004768,-3961767.4875364406,3349008.494785702,3698310.2203392787,0,0,1,1,1,1,1,0.4746158452613077,0.43145364158014093,0.4605705848112382,24,1,0.009732019845157905,0.513476500810649,0.513476500810649,1.46636036803027,nan,nan,0.9631834579664125,0,14,1.0772695519043467,8,0,0,0
62,187482.39999890327,-3961767.467429304,3349008.5049757664,3698310.2368767387,0,0,1,1,1,1,1,0.47444726226165074,0.4326265951872638,0.46366521317810244,24,2,0.009732019845157905,0.5157472168172564,0.5157472168172564,1.4747757024804884,nan,nan,0.9636788253144405,0,14,1.076171722881943,8,0,0,0
63,187482.59999990463,-3961767.4343750114,3349008.516915932,3698310.2576050977,0,0,1,1,1,1,1,0.47442214715643305,0.4328645078997468,0.4647583138631581,24,3,0.009732019845157905,0.5171233872283729,0.5171233872283729,1.484376335378123,nan,nan,0.9637254647694854,0,14,1.0760684652939885,8,0,0,0
64,187482.79999899864,-3961767.387280358,3349008.5357519793,3698310.286242867,0,0,1,1,1,1,1,0.4744086098328091,0.43297898114788014,0.4644368217018463,24,4,0.009732019845157905,0.5169746755744277,0.5169746755744277,1.4942801413051907,nan,nan,0.9637282258165603,0,14,1.076062352460918,8,0,0,0
65,187483.0,-3961767.3303118707,3349008.57324946,3698310.3166351374,0,0,0,0,1,1,1,1.521923498852229,1.4472003724818716,0.4420131899503308,24,0,0.009632513460348125,0.5047774208042647,0.5047774208042647,1.3976638202009697,0.009632513460348125,0.018113202487898977,0.08333333333333333,0,12,11.999999999999998,8,12,24,23
66,187483.20000004768,-3961767.2628382794,3349008.5968449092,3698310.3557751197,0,0,0,0,1,1,1,1.511654039824377,1.4424332971216771,0.44080381919337724,24,1,0.009632513460348125,0.5002771012755058,0.5002771012755058,1.4018071191687813,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
67,187483.39999890327,-3961767.1908942526,3349008.635728807,3698310.406640669,0,0,0,0,1,1,1,1.511789853721072,1.4409977208286577,0.4340498266187302,24,2,0.009632513460348125,0.49384560291436536,0.49384560291436536,1.4106201573240689,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
68,187483.59999990463,-3961767.0980431065,3349008.6551525667,3698310.4661354115,0,0,0,0,1,1,1,1.509742487087876,1.439704373723984,0.4402062732837002,24,3,0.009632513460348125,0.5004810975558796,0.5004810975558796,1.4206579498131207,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
69,187483.79999899864,-3961766.9976068307,3349008.685244,3698310.5356884734,0,0,0,0,1,1,1,1.5095703163876328,1.4394799376102554,0.44434701900890344,24,4,0.009632513460348125,0.505110628850723,0.505110628850723,1.4310038885011878,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
70,187484.0,-3961766.8912149635,3349008.730942139,3698310.5901914835,0,0,0,0,1,1,1,1.3048617451079123,1.324497147691351,0.43196826950675576,24,0,0.00795937881734785,0.4799748079674707,0.4799748079674707,1.3528672368508006,0.00795937881734785,0.6980838593687128,0.20015033081455455,0,14,9.152525618656712,8,12,24,22
71,187484.20000004768,-3961766.7839030144,3349008.765489808,3698310.67669754,0,0,0,0,1,1,1,1.3057272152136088,1.3240361049205676,0.42868748772310056,24,1,0.00795937881734785,0.47422343996813776,0.47422343996813776,1.3570926310066866,nan,nan,0.20253867921008073,0,14,9.080551400952105,8,0,0,0
72,187484.39999890327,-3961766.6620896263,3349008.7986902785,3698310.773462238,0,0,0,0,1,1,1,1.3053015562392676,1.325800419301258,0.4358006954191144,24,2,0.00795937881734785,0.4806458339021173,0.4806458339021173,1.3661807564304334,nan,nan,0.2026576140393311,0,14,9.076447853899449,8,0,0,0
73,187484.59999990463,-3961766.5189222065,3349008.81502214,3698310.8710912494,0,0,0,0,1,1,1,1.305059501615703,1.3266083428551445,0.4478850951130342,24,3,0.00795937881734785,0.49210070232040665,0.49210070232040665,1.3765388709928439,nan,nan,0.20264615749074377,0,14,9.07652877666376,8,0,0,0
74,187484.79999899864,-3961766.361654198,3349008.848515016,3698310.979458889,0,0,0,0,1,1,1,1.3050791073392454,1.3266493060368543,0.45040383095042513,24,4,0.00795937881734785,0.4943285857138447,0.4943285857138447,1.3872127447852924,nan,nan,0.20264912987579461,0,14,9.076356791350118,8,0,0,0
75,187485.0,-3961766.1999966367,3349008.914386139,3698311.0456096223,0,0,0,0,1,1,1,1.3459747552988723,1.4040007471625102,0.41343694744821574,24,0,0.007044364821533657,0.42238532446674937,0.42238532446674937,1.3118867539484522,0.007044364821533657,4.032609484618696,0.5590710629876788,0,22,2.8634695507420584,8,12,24,22
76,187485.20000004768,-3961766.0048927264,3349008.9515093714,3698311.1855508,0,0,0,0,1,1,1,1.3440571274610376,1.4131338738850772,0.4026348784210528,24,1,0.007044364821533657,0.39592118160418877,0.39592118160418877,1.3162490081353793,nan,nan,0.5626119906283368,0,22,2.8284640915122505,8,0,0,0
77,187485.39999890327,-3961765.7673587725,3349008.9948538453,3698311.358591891,0,0,0,0,1,1,1,1.3437868738624381,1.4154146294285617,0.3996535634270401,24,2,0.007044364821533657,0.3859148334305178,0.3859148334305178,1.325618484206996,nan,nan,0.5627517861624953,0,22,2.8271605841726,8,0,0,0
78,187485.59999990463,-3961765.4964716095,3349009.0545725496,3698311.5587173626,0,0,0,0,1,1,1,1.3437488613798476,1.4160037233068503,0.3955083679851945,24,3,0.007044364821533657,0.37667513165388367,0.37667513165388367,1.336291417898766,nan,nan,0.5627585234620568,0,22,2.8271095436784934,8,0,0,0
79,187485.79999899864,-3961765.2080126135,3349009.108019784,3698311.7910321453,0,0,0,0,1,1,1,1.3437334681501307,1.4162079398620848,0.39487880909511996,24,4,0.007044364821533657,0.3760565835046086,0.3760565835046086,1.3472843022949659,nan,nan,0.5627547193343155,0,22,2.8271447763656505,8,0,0,0
80,187486.0,-3961764.819047165,3349009.239962316,3698312.1346860407,0,0,1,1,1,1,1,0.34640960199114557,0.31023932004581384,0.3888759444764507,24,0,0.008401202687298348,0.4040513674094944,0.4040513674094944,1.265629624829518,0.008401202687298348,0.055773311416541176,0.08333333333333333,0,12,11.999999999999998,8,12,24,22
81,187486.20000004768,-3961764.4850886883,3349009.3232467887,3698312.412745889,0,0,1,1,1,1,1,0.34072364703425756,0.30662039363291366,0.3893201724797968,24,1,0.008401202687298348,0.39897513871212276,0.39897513871212276,1.2701846157691477,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
82,187486.39999890327,-3961764.1311550355,3349009.412425803,3698312.698026848,0,0,1,1,1,1,1,0.33810262416020886,0.30443905160645895,0.38993947604429396,24,2,0.008401202687298348,0.39661597631469026,0.39661597631469026,1.279899924650674,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
83,187486.59999990463,-3961763.767831145,3349009.4996714164,3698312.9951003455,0,0,1,1,1,1,1,0.3368973681552832,0.3036044258417393,0.39614693228016445,24,3,0.008401202687298348,0.3994615527903566,0.3994615527903566,1.290953322907952,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
84,187486.79999899864,-3961763.37948182,3349009.5992878503,3698313.3041488803,0,0,1,1,1,1,1,0.33645403543745733,0.3032931387129769,0.3949121067656208,24,4,0.008401202687298348,0.3956341889019411,0.3956341889019411,1.3023297005541972,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
85,187487.0,-3961762.930071976,3349009.6704857913,3698313.655132201,0,0,1,1,1,1,1,0.3608072512593034,0.33395080289889273,0.41677851599651616,24,0,0.010874349193127025,0.43278794403188847,0.43278794403188847,1.2314846962193888,0.010874349193127025,0.026311745343017477,0.18289507328040916,0,16,9.37489310413448,8,12,24,22
86,187487.20000004768,-3961762.4939450356,3349009.789677537,3698314.0210188767,0,0,1,1,1,1,1,0.36187080349816086,0.337630797913269,0.39390048956719753,24,1,0.010874349193127025,0.4003007794239601,0.4003007794239601,1.2361279615887601,nan,nan,0.1844472680234069,0,16,9.31571630522704,8,0,0,0
