epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ddpr_snapshot_error_m,wls_error_m,ddpr_snapshot_accepted,ddpr_snapshot_initial_rms_m,ddpr_snapshot_final_rms_m,ddpr_snapshot_shift_m,tdcp_truth_displacement_error_m,doppler_truth_displacement_error_m,imu_truth_displacement_error_m,ddpr_snapshot_pair_exclusion_positions,ddpr_snapshot_pair_exclusion_oracle_error_m,trusted_fix_anchor_error_m,trusted_fix_anchor_age_epochs,trusted_fix_anchor_ecef_x,trusted_fix_anchor_ecef_y,trusted_fix_anchor_ecef_z,ddpr_snapshot_ecef_x,ddpr_snapshot_ecef_y,ddpr_snapshot_ecef_z,ddpr_guard_ecef_x,ddpr_guard_ecef_y,ddpr_guard_ecef_z,ambiguities_reset,assignment_history_cleared,assignment_arc_slips,assignment_arc_slip_ids,stale_generation_holdover_basins,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,position_shadow_candidates,position_shadow_oracle_min_error_m,snapshot_loo_shadow_candidates,snapshot_loo_shadow_oracle_min_error_m,trusted_anchor_shadow_candidates,trusted_anchor_shadow_oracle_min_error_m,external_position_shadow_candidates,external_position_shadow_oracle_min_error_m,trusted_refinement_shadow_candidates,trusted_refinement_shadow_oracle_min_error_m,subset_shadow_candidates,subset_shadow_oracle_min_error_m,arc_shadow_candidates,arc_shadow_oracle_min_error_m,arc_shadow_oracle_rank,arc_shadow_compute_seconds,arc_completion_search_workspaces,respawn_excluded_satellite,widelane_candidate_pairs,widelane_fixed_pairs,widelane_dd_pairs,widelane_fix_rate,widelane_reason,n_dd_pr,n_dd_cp
10,177002.0,-3961765.127327429,3349009.181104098,3698311.4123553634,0,0,1,1,1,1,1,0.39415087535132426,0.508954600493156,0.511797125506494,29,0,0.005728639435766849,0.40945423232422967,0.1807690856058663,0,,0.0,0.0,0,nan,0,0,,1,0.002307882667484354,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.1807690856058663,1,0.1807690856058663,0.32214609174033554,0.0,1,0.39415087535132426,0.508954600493156,0.40945423232422967,2.472572206262442,0.005728639435766849,0.004379652244908313,0.588564692909055,22.220181746971086,1,12.39215113632166,0.4702043251123064,22.689627262645413,0.0007971982091394073,0.002645326984614342,nan,0,nan,nan,-1,nan,nan,nan,-3961765.1036459175,3349008.9223331013,3698311.240835069,-3961765.067665374,3349009.070353897,3698311.3438323354,0,0,0,,0,0.32214609174033554,0,30f8435a56374234,28,6.4526131978641645,8,12,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,29,46
11,177002.20000004768,-3961765.1271452936,3349009.1803555465,3698311.4122872683,0,0,1,1,1,1,1,0.39432417617728127,0.5089352760410756,0.5118948881519586,29,1,0.005728639435766849,0.4097957283430553,0.1808650442280365,0,,0.0,0.0,0,nan,0,0,,1,0.0014962434181625135,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.1808650442280365,1,0.1808650442280365,0.3255725572348565,0.0,1,0.39432417617728127,0.5089352760410756,0.4097957283430553,2.47487246828447,nan,nan,nan,22.080409877418237,0,nan,nan,nan,0.002872744628692887,0.0007748585977938781,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.068196875,3349009.069095893,3698311.3434662283,0,0,0,,0,0.3255725572348565,0,30f8435a56374234,28,6.362386811625426,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
12,177002.39999890327,-3961765.1295187892,3349009.179276806,3698311.412538304,0,0,1,1,1,1,1,0.3944755398595123,0.5088360707211346,0.5098290642785622,29,2,0.005728639435766849,0.40769147390435123,0.1802390781210612,0,,0.0,0.0,0,nan,0,0,,1,0.0013540211796267759,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.1802390781210612,1,0.1802390781210612,0.3259023976117666,0.0,1,0.3944755398595123,0.5088360707211346,0.40769147390435123,2.479863972453664,nan,nan,nan,22.058740149175463,0,nan,nan,nan,0.0016144014927834361,0.004428356505293834,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.07100436,3349009.067826374,3698311.343710665,0,0,0,,0,0.3259023976117666,0,30f8435a56374234,28,6.354114786837729,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
13,177002.59999990463,-3961765.1273715603,3349009.175829374,3698311.4112634263,0,0,1,1,1,1,1,0.39439773817975016,0.5088776329352402,0.5135148021639505,29,3,0.005728639435766849,0.41068710697205413,0.18037197178289288,0,,0.0,0.0,0,nan,0,0,,1,0.0022112950185614938,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18037197178289288,1,0.18037197178289288,0.32593633835517044,0.0,1,0.39439773817975016,0.5088776329352402,0.41068710697205413,2.4855843622495715,nan,nan,nan,22.047921039821492,0,nan,nan,nan,0.0033907533563342276,0.0072249539189714945,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.0687849275,3349009.0642687124,3698311.342376844,0,0,0,,0,0.32593633835517044,0,30f8435a56374234,28,6.3532661229616805,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
14,177002.79999899864,-3961765.1280050813,3349009.175640629,3698311.41126922,0,0,1,1,1,1,1,0.3944276371106906,0.5088664197161437,0.5129780899729371,29,4,0.005728639435766849,0.41011604825261355,0.18013962742779147,0,,0.0,0.0,0,nan,0,0,,1,0.0016566325146206199,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18013962742779147,1,0.18013962742779147,0.3259397847373609,0.0,1,0.3944276371106906,0.5088664197161437,0.41011604825261355,2.491511185899543,nan,nan,nan,21.99836239894848,0,nan,nan,nan,0.003699106003363576,0.0029116130978833715,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.069464917,3349009.064093362,3698311.342389139,0,0,0,,0,0.3259397847373609,0,30f8435a56374234,28,6.353179899342045,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
15,177003.0,-3961765.1113516553,3349009.122097885,3698311.3765067393,0,0,1,1,1,1,1,0.44155962959155054,0.5689816381024239,0.566020277061612,30,0,0.007638117431594539,0.4464946718389849,0.18327875554698728,0,,0.0,0.0,0,nan,0,0,,1,0.0015853764349032264,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18327875554698728,1,0.18327875554698728,0.4990227773722368,0.0,1,0.44155962959155054,0.5689816381024239,0.4464946718389849,2.2241922162281362,0.007638117431594539,0.004287159986071248,0.7360961314392558,20.357775588598344,1,12.21885190420807,0.5794043469410498,20.930439852210323,0.0012260844795601118,0.004581577243714758,nan,0,nan,nan,-1,nan,nan,nan,-3961764.9910858083,3349008.819494132,3698311.2261891467,-3961765.048945817,3349009.000405244,3698311.312559005,0,0,0,,0,0.4990227773722368,0,30f8435a56374234,29,3.527319500825205,8,12,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,30,46
16,177003.20000004768,-3961765.1102173496,3349009.1213625353,3698311.3766954294,0,0,1,1,1,1,1,0.44131753391736883,0.569039822374315,0.5675713254108528,30,1,0.007638117431594539,0.4477416695756151,0.18421869730726564,0,,0.0,0.0,0,nan,0,0,,1,0.0024242486493680467,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18421869730726564,1,0.18421869730726564,0.5045648963396714,0.0,1,0.44131753391736883,0.569039822374315,0.4477416695756151,2.2267503299155345,nan,nan,nan,20.315390659449584,0,nan,nan,nan,0.0011801048320428833,0.0011679951669688743,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.0477650515,3349008.999114325,3698311.3127275957,0,0,0,,0,0.5045648963396714,0,30f8435a56374234,29,3.460400966729755,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
17,177003.39999890327,-3961765.107929165,3349009.119773307,3698311.374827118,0,0,1,1,1,1,1,0.4410749010380084,0.5691791995958636,0.571092225149412,30,2,0.007638117431594539,0.4507531159370366,0.18371247776397412,0,,0.0,0.0,0,nan,0,0,,1,0.0025305198652704813,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18371247776397412,1,0.18371247776397412,0.5050676195345095,0.0,1,0.4410749010380084,0.5691791995958636,0.4507531159370366,2.232296975659076,nan,nan,nan,20.231718400519522,0,nan,nan,nan,0.002108620299679516,0.0052251715401016785,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.0453075226,3349008.997254802,3698311.310596505,0,0,0,,0,0.5050676195345095,0,30f8435a56374234,29,3.4545425438600947,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
18,177003.59999990463,-3961765.1042871447,3349009.119505567,3698311.3750115223,0,0,1,1,1,1,1,0.4410715709957899,0.5691838276225676,0.574252469056702,30,3,0.007638117431594539,0.454165561068033,0.18556408876115485,0,,0.0,0.0,0,nan,0,0,,1,0.0033380036355224745,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18556408876115485,1,0.18556408876115485,0.5051187673817761,0.0,1,0.4410715709957899,0.5691838276225676,0.454165561068033,2.2386501298412913,nan,nan,nan,20.227920535216104,0,nan,nan,nan,0.0015681952131148921,0.004608576150274784,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.0416192315,3349008.9969750606,3698311.310836791,0,0,0,,0,0.5051187673817761,0,30f8435a56374234,29,3.453947839380412,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
19,177003.79999899864,-3961765.1015305864,3349009.1160237934,3698311.3727924805,0,0,1,1,1,1,1,0.4410485817513714,0.569194265638097,0.5788368669490116,30,4,0.007638117431594539,0.458298745233422,0.18527617284374204,0,,0.0,0.0,0,nan,0,0,,1,0.0011787646693832581,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18527617284374204,1,0.18527617284374204,0.5051240712686742,0.0,1,0.4410485817513714,0.569194265638097,0.458298745233422,2.2452289119581668,nan,nan,nan,20.364823083598893,0,nan,nan,nan,0.0016891323779123194,0.006740156760312394,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.0388667258,3349008.993445115,3698311.308589651,0,0,0,,0,0.5051240712686742,0,30f8435a56374234,29,3.4538862400311356,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
20,177004.0,-3961765.095491573,3349009.0669725672,3698311.324234656,0,0,1,1,1,1,1,0.4934802396982142,0.6462177056598626,0.6423165359362105,30,0,0.009121991913256565,0.4938621923304361,0.1822995060517208,0,,0.0,0.0,0,nan,0,0,,1,0.0016703025989216588,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.1822995060517208,1,0.1822995060517208,0.6585178628911185,0.0,1,0.4934802396982142,0.6462177056598626,0.4938621923304361,2.037464282365707,0.009121991913256565,0.0030785590841044233,0.9187952728949377,20.383968412920854,1,12.253493610411672,0.6317023460336393,21.08468999651349,0.00209036166285124,0.0010056499330968359,nan,0,nan,nan,-1,nan,nan,nan,-3961764.9442825904,3349008.704728572,3698311.0285834973,-3961765.0195382265,3349008.9335106867,3698311.2499639755,0,0,0,,0,0.6585178628911185,0,30f8435a56374234,29,2.203536158568001,8,12,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,30,46
21,177004.20000004768,-3961765.0956504317,3349009.065085543,3698311.3242511894,0,0,1,1,1,1,1,0.4922351115354796,0.646519481305781,0.6448305402917761,30,1,0.009121991913256565,0.4944832579444332,0.18244232770058288,0,,0.0,0.0,0,nan,0,0,,1,0.0018600727017436891,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.18244232770058288,1,0.18244232770058288,0.665864839248798,0.0,1,0.4922351115354796,0.646519481305781,0.4944832579444332,2.0402578675812584,nan,nan,nan,20.482922897158655,0,nan,nan,nan,0.0019019081640504877,0.004536085762501663,nan,0,nan,nan,-1,nan,nan,nan,nan,nan,nan,-3961765.0187165057,3349008.9302351465,3698311.249466297,0,0,0,,0,0.665864839248798,0,30f8435a56374234,29,2.1581560144602667,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,-1,0.0,0,,0,0,0,0.0,disabled,0,0
