city,run,config,systems,weight_scale,epoch_index,gps_tow,n_sat,error_2d,error_3d,est_x,est_y,est_z
nagoya,run1,"G,E","G,E",-,45,550389.000000,13,27.460581,44.319504,-3810280.117376,3567865.112485,3652913.319146
nagoya,run1,"G,E","G,E",-,46,550389.199999,13,27.805228,44.147180,-3810279.983942,3567864.534226,3652913.156465
nagoya,run1,"G,E","G,E",-,47,550389.400000,13,27.897106,44.390272,-3810280.109035,3567864.548867,3652913.426543
nagoya,run1,"G,E","G,E",-,48,550389.599999,13,27.678755,44.551202,-3810280.191202,3567864.925240,3652913.637596
nagoya,run1,"G,E","G,E",-,49,550389.800000,13,27.425288,44.608100,-3810280.267385,3567865.319240,3652913.648074
nagoya,run1,"G,E","G,E",-,50,550390.000000,13,28.453091,44.259462,-3810279.873068,3567863.640153,3652913.463476
nagoya,run1,"G,E","G,E",-,51,550390.199999,13,28.657024,44.129761,-3810279.744629,3567863.260533,3652913.370028
nagoya,run1,"G,E","G,E",-,52,550390.400000,13,28.853364,43.968207,-3810279.572238,3567862.856014,3652913.277022
nagoya,run1,"G,E","G,E",-,53,550390.599999,13,29.231456,43.588207,-3810279.256566,3567862.064340,3652912.908245
nagoya,run1,"G,E","G,E",-,54,550390.800000,13,28.529664,44.129585,-3810279.687507,3567863.394974,3652913.486489
nagoya,run1,"G,E","G,E",-,55,550391.000000,13,28.224552,44.551052,-3810279.939124,3567864.058423,3652913.975819
nagoya,run1,"G,E","G,E",-,56,550391.199999,13,28.285168,44.535171,-3810279.939007,3567863.974509,3652913.935326
nagoya,run1,"G,E","G,E",-,57,550391.400000,13,28.207803,44.484951,-3810279.923766,3567864.053181,3652913.873265
nagoya,run1,"G,E","G,E",-,58,550391.599999,13,28.491256,44.244865,-3810279.755496,3567863.517061,3652913.616910
nagoya,run1,"G,E","G,E",-,59,550391.800000,13,29.205662,44.100013,-3810279.546623,3567862.415052,3652913.500425
nagoya,run1,"G,E","G,E",-,60,550392.000000,13,28.747744,44.428372,-3810279.825296,3567863.273193,3652913.822949
nagoya,run1,"G,E","G,E",-,61,550392.199999,12,36.151196,54.647954,-3810284.551079,3567859.986709,3652924.454053
nagoya,run1,"G,E","G,E",-,62,550392.400000,12,36.061978,54.730994,-3810284.619633,3567860.166573,3652924.538628
nagoya,run1,"G,E","G,E",-,63,550392.599999,12,35.783886,54.951599,-3810284.819472,3567860.695843,3652924.742659
nagoya,run1,"G,E","G,E",-,64,550392.800000,12,35.709758,54.922152,-3810284.785211,3567860.767999,3652924.751109
nagoya,run1,"G,E","G,E",-,65,550393.000000,12,35.271949,55.105813,-3810284.949907,3567861.472066,3652924.956612
nagoya,run1,"G,E","G,E",-,66,550393.199999,12,34.308337,55.697633,-3810285.470972,3567863.140031,3652925.469447
nagoya,run1,"G,E","G,E",-,67,550393.400000,12,34.687425,55.530212,-3810285.267940,3567862.524021,3652925.386267
nagoya,run1,"G,E","G,E",-,68,550393.599999,12,35.202462,55.270045,-3810285.010962,3567861.666935,3652925.174901
nagoya,run1,"G,E","G,E",-,69,550393.800000,12,35.518934,54.977408,-3810284.755629,3567861.040632,3652924.925228
nagoya,run1,"G,E","G,E",-,70,550394.000000,12,34.563422,55.607455,-3810285.286602,3567862.728421,3652925.511631
nagoya,run1,"G,E","G,E",-,71,550394.199999,12,34.250953,55.766863,-3810285.407121,3567863.237132,3652925.671575
nagoya,run1,"G,E","G,E",-,72,550394.400000,12,35.003414,55.186504,-3810284.886143,3567861.849508,3652925.223745
nagoya,run1,"G,E","G,E",-,73,550394.599999,12,34.524636,55.625502,-3810285.273491,3567862.784993,3652925.563684
nagoya,run1,"G,E","G,E",-,74,550394.800000,12,34.465242,55.604173,-3810285.238874,3567862.841361,3652925.579196
nagoya,run1,"G,E","G,E",-,75,550395.000000,12,34.482800,55.679743,-3810285.252024,3567862.863989,3652925.686716
nagoya,run1,"G,E","G,E",-,76,550395.199999,12,34.679327,55.426404,-3810285.044549,3567862.430721,3652925.488568
nagoya,run1,"G,E","G,E",-,77,550395.400000,12,34.200087,55.655153,-3810285.256343,3567863.208703,3652925.678320
nagoya,run1,"G,E","G,E",-,78,550395.599999,12,33.000727,56.565368,-3810286.003233,3567865.356510,3652926.352168
nagoya,run1,"G,E","G,E",-,79,550395.800000,12,33.544004,56.137881,-3810285.663079,3567864.380507,3652926.041646
nagoya,run1,"G,E","G,E",-,80,550396.000000,12,33.371741,56.268632,-3810285.751747,3567864.684374,3652926.159113
nagoya,run1,"G,E","G,E",-,81,550396.199999,12,34.111237,55.764434,-3810285.333945,3567863.397072,3652925.775073
nagoya,run1,"G,E","G,E",-,82,550396.399999,12,34.249336,55.745692,-3810285.291893,3567863.204034,3652925.778674
nagoya,run1,"G,E","G,E",-,83,550396.600000,12,32.618839,56.682612,-3810286.070436,3567865.904063,3652926.472507
nagoya,run1,"G,E","G,E",-,84,550396.800000,12,32.947922,56.347114,-3810285.802447,3567865.263107,3652926.249928
nagoya,run1,"G,E","G,E",-,85,550397.000000,12,33.851688,55.796819,-3810285.350371,3567863.744781,3652925.837815
nagoya,run1,"G,E","G,E",-,86,550397.199999,12,34.172814,55.650854,-3810285.206050,3567863.230657,3652925.736533
nagoya,run1,"G,E","G,E",-,87,550397.399999,12,33.983056,55.735077,-3810285.301724,3567863.535732,3652925.781210
nagoya,run1,"G,E","G,E",-,88,550397.600000,12,34.065746,55.813159,-3810285.354609,3567863.485525,3652925.835687
nagoya,run1,"G,E","G,E",-,89,550397.800000,13,28.422236,47.399150,-3810281.294199,3567865.411099,3652917.272263
nagoya,run1,"G,E","G,E",-,90,550398.000000,13,27.904031,47.879996,-3810281.646119,3567866.401703,3652917.641357
nagoya,run1,"G,E","G,E",-,91,550398.199999,13,27.314710,48.365517,-3810281.944779,3567867.452174,3652918.058945
nagoya,run1,"G,E","G,E",-,92,550398.399999,13,27.941433,47.877079,-3810281.586188,3567866.325494,3652917.724529
nagoya,run1,"G,E","G,E",-,93,550398.600000,13,26.217902,49.166165,-3810282.484550,3567869.349253,3652918.573449
nagoya,run1,"G,E","G,E",-,94,550398.800000,13,26.632946,48.835576,-3810282.258114,3567868.613672,3652918.378563
nagoya,run1,"G,E","G,E",-,95,550399.000000,13,26.085518,49.254389,-3810282.556582,3567869.578154,3652918.601777
nagoya,run1,"G,E","G,E",-,96,550399.199999,12,10.451317,89.798873,-3810298.811645,3567921.318221,3652933.878844
nagoya,run1,"G,E","G,E",-,97,550399.399999,12,10.441662,89.900322,-3810298.897385,3567921.344887,3652933.943452
nagoya,run1,"G,E","G,E",-,98,550399.600000,12,10.467917,90.159484,-3810299.021685,3567921.538567,3652934.074478
nagoya,run1,"G,E","G,E",-,99,550399.800000,12,10.321679,90.147101,-3810299.039270,3567921.409228,3652934.189569
nagoya,run1,"G,E","G,E",-,100,550400.000000,12,10.227198,90.256595,-3810299.128234,3567921.384335,3652934.331714
nagoya,run1,"G,E","G,E",-,101,550400.199999,12,10.195509,90.440215,-3810299.271824,3567921.433326,3652934.462546
nagoya,run1,"G,E","G,E",-,102,550400.399999,12,10.238998,90.582080,-3810299.331254,3567921.567987,3652934.509652
nagoya,run1,"G,E","G,E",-,103,550400.600000,12,10.114493,90.648974,-3810299.413053,3567921.479765,3652934.651812
nagoya,run1,"G,E","G,E",-,104,550400.800000,12,10.035489,90.687371,-3810299.439003,3567921.444373,3652934.741685
nagoya,run1,"G,E","G,E",-,105,550401.000000,12,9.960008,90.585100,-3810299.394075,3567921.318499,3652934.746237
nagoya,run1,"G,E","G,E",-,106,550401.199999,12,9.761876,90.648740,-3810299.458891,3567921.190105,3652934.952466
nagoya,run1,"G,E","G,E",-,107,550401.399999,13,41.150334,41.301558,-3810264.324506,3567834.886572,3652904.738075
nagoya,run1,"G,E","G,E",-,108,550401.600000,12,9.985132,90.576062,-3810299.418424,3567921.300781,3652934.717578
nagoya,run1,"G,E","G,E",-,109,550401.800000,12,10.035072,90.672011,-3810299.473186,3567921.391992,3652934.730332
nagoya,run1,"G,E","G,E",-,110,550402.000000,12,9.957889,90.613311,-3810299.485042,3567921.258091,3652934.760283
nagoya,run1,"G,E","G,E",-,111,550402.199999,13,40.953683,41.175441,-3810264.696464,3567835.465095,3652905.070263
nagoya,run1,"G,E","G,E",-,112,550402.399999,13,40.295294,40.636566,-3810265.122300,3567836.588479,3652905.254312
nagoya,run1,"G,E","G,E",-,113,550402.600000,13,40.559026,40.881484,-3810265.118862,3567836.287998,3652905.322125
nagoya,run1,"G,E","G,E",-,114,550402.800000,13,40.958220,41.193342,-3810264.858617,3567835.548219,3652905.042675
nagoya,run1,"G,E","G,E",-,115,550403.000000,13,40.950377,41.184026,-3810264.848589,3567835.547146,3652905.029371
nagoya,run1,"G,E","G,E",-,116,550403.199999,13,40.492922,40.867701,-3810265.354781,3567836.570387,3652905.493760
nagoya,run1,"G,E","G,E",-,117,550403.399999,13,40.619159,40.973353,-3810265.288191,3567836.377039,3652905.496578
nagoya,run1,"G,E","G,E",-,118,550403.600000,13,40.727993,41.051914,-3810265.198717,3567836.158448,3652905.403807
nagoya,run1,"G,E","G,E",-,119,550403.800000,13,39.457744,40.217427,-3810266.302813,3567838.704386,3652906.361689
nagoya,run1,"G,E","G,E",-,120,550404.000000,13,39.203823,40.110066,-3810266.624058,3567839.309091,3652906.654291
nagoya,run1,"G,E","G,E",-,121,550404.199999,13,38.763959,39.977664,-3810267.237152,3567840.407021,3652907.207379
nagoya,run1,"G,E","G,E",-,122,550404.399999,12,9.821444,91.567773,-3810300.196095,3567921.556511,3652935.427007
nagoya,run1,"G,E","G,E",-,123,550404.600000,12,9.790861,91.552700,-3810300.203726,3567921.508867,3652935.444723
nagoya,run1,"G,E","G,E",-,124,550404.800000,12,9.788051,91.520826,-3810300.208008,3567921.464245,3652935.428439
nagoya,run1,"G,E","G,E",-,125,550405.000000,12,9.876338,91.487985,-3810300.183344,3567921.513578,3652935.332212
nagoya,run1,"G,E","G,E",-,126,550405.199999,12,9.967475,91.554597,-3810300.185414,3567921.654837,3652935.292107
nagoya,run1,"G,E","G,E",-,127,550405.399999,12,10.070189,91.595934,-3810300.171465,3567921.789904,3652935.228096
nagoya,run1,"G,E","G,E",-,128,550405.600000,12,9.989608,91.648321,-3810300.226268,3567921.739016,3652935.327605
nagoya,run1,"G,E","G,E",-,129,550405.800000,12,10.057040,91.742764,-3810300.294258,3567921.827590,3652935.323320
nagoya,run1,"G,E","G,E",-,130,550406.000000,12,10.128201,91.701070,-3810300.244995,3567921.878687,3652935.238274
nagoya,run1,"G,E","G,E",-,131,550406.199999,12,10.048186,91.574288,-3810300.211300,3567921.707864,3652935.232826
nagoya,run1,"G,E","G,E",-,132,550406.399999,12,10.010115,91.688852,-3810300.240850,3567921.786224,3652935.333583
nagoya,run1,"G,E","G,E",-,133,550406.600000,12,10.161145,91.585693,-3810300.185023,3567921.827172,3652935.142450
nagoya,run1,"G,E","G,E",-,134,550406.800000,12,10.177541,91.581777,-3810300.168958,3567921.850381,3652935.126556
nagoya,run1,"G,E","G,E",-,135,550407.000000,12,10.183486,91.661533,-3810300.189516,3567921.927202,3652935.168915
nagoya,run1,"G,E","G,E",-,136,550407.199999,12,10.280256,91.522845,-3810300.138757,3567921.883006,3652935.003176
nagoya,run1,"G,E","G,E",-,137,550407.399999,12,10.269895,91.518887,-3810300.130721,3567921.879384,3652935.010132
nagoya,run1,"G,E","G,E",-,138,550407.600000,12,10.319784,91.482217,-3810300.113466,3567921.888324,3652934.945451
nagoya,run1,"G,E","G,E",-,139,550407.800000,12,10.174586,91.508418,-3810300.178797,3567921.751773,3652935.084437
nagoya,run1,"G,E","G,E",-,140,550408.000000,12,10.267065,91.490137,-3810300.172056,3567921.801388,3652934.993295
nagoya,run1,"G,E","G,E",-,141,550408.199999,12,10.209589,91.648175,-3810300.258483,3567921.859057,3652935.135161
nagoya,run1,"G,E","G,E",-,142,550408.399999,12,10.340631,91.535140,-3810300.192838,3567921.884010,3652934.955769
nagoya,run1,"G,E","G,E",-,143,550408.600000,12,10.418208,91.573395,-3810300.219371,3567921.955414,3652934.910487
nagoya,run1,"G,E","G,E",-,144,550408.800000,12,10.393218,91.654405,-3810300.252431,3567921.999628,3652934.979872
nagoya,run1,"G,E","G,E",-,145,550409.000000,12,10.444272,91.813037,-3810300.333393,3567922.138482,3652935.028367
nagoya,run1,"G,E","G,E",-,146,550409.199999,12,10.325396,91.838477,-3810300.368576,3567922.050628,3652935.145098
nagoya,run1,"G,E","G,E",-,147,550409.399999,12,10.317142,91.761904,-3810300.294539,3567922.030461,3652935.109193
nagoya,run1,"G,E","G,E",-,148,550409.600000,12,10.227741,91.805882,-3810300.335830,3567921.978141,3652935.211497
nagoya,run1,"G,E","G,E",-,149,550409.800000,12,10.298133,91.650437,-3810300.227587,3567921.954672,3652935.061050
nagoya,run1,"G,E","G,E",-,150,550410.000000,12,10.305124,91.677344,-3810300.264282,3567921.953690,3652935.069626
nagoya,run1,"G,E","G,E",-,151,550410.199999,12,10.366190,91.697001,-3810300.278483,3567922.004474,3652935.027964
nagoya,run1,"G,E","G,E",-,152,550410.399999,12,10.379953,91.973641,-3810300.446949,3567922.167174,3652935.176277
nagoya,run1,"G,E","G,E",-,153,550410.600000,12,10.471569,91.821953,-3810300.366213,3567922.134420,3652935.008452
nagoya,run1,"G,E","G,E",-,154,550410.800000,12,10.651336,91.721930,-3810300.305185,3567922.202209,3652934.794921
nagoya,run1,"G,E","G,E",-,155,550411.000000,12,10.815658,91.789854,-3810300.325969,3567922.372101,3652934.693706
nagoya,run1,"G,E","G,E",-,156,550411.199999,12,10.993904,91.737289,-3810300.288561,3567922.468454,3652934.510023
nagoya,run1,"G,E","G,E",-,157,550411.399999,12,10.791930,91.750125,-3810300.337755,3567922.298066,3652934.688742
nagoya,run1,"G,E","G,E",-,158,550411.600000,12,10.756965,91.884629,-3810300.488294,3567922.279673,3652934.792952
nagoya,run1,"G,E","G,E",-,159,550411.800000,13,26.086007,51.582404,-3810284.584336,3567871.315850,3652919.538556
nagoya,run1,"G,E","G,E",-,160,550412.000000,13,25.198470,52.397124,-3810285.019574,3567872.883413,3652920.066999
nagoya,run1,"G,E","G,E",-,161,550412.200000,12,10.597649,91.611045,-3810300.377925,3567921.961105,3652934.770512
nagoya,run1,"G,E","G,E",-,162,550412.399999,12,10.625052,91.452575,-3810300.303705,3567921.869236,3652934.653969
nagoya,run1,"G,E","G,E",-,163,550412.600000,12,10.550392,91.376537,-3810300.261628,3567921.771079,3652934.674990
nagoya,run1,"G,E","G,E",-,164,550412.799999,12,10.736578,91.147546,-3810300.108615,3567921.786544,3652934.380231
nagoya,run1,"G,E","G,E",-,165,550413.000000,12,10.727385,91.166933,-3810300.123749,3567921.787570,3652934.399345
nagoya,run1,"G,E","G,E",-,166,550413.200000,12,10.925261,90.881468,-3810299.897382,3567921.817625,3652934.064370
nagoya,run1,"G,E","G,E",-,167,550413.399999,12,10.776187,90.793389,-3810299.882341,3567921.628139,3652934.140897
nagoya,run1,"G,E","G,E",-,168,550413.600000,12,10.859730,90.733095,-3810299.830146,3567921.667429,3652934.034004
nagoya,run1,"G,E","G,E",-,169,550413.799999,12,10.719785,90.716825,-3810299.801588,3567921.581908,3652934.147217
nagoya,run1,"G,E","G,E",-,170,550414.000000,12,10.587831,90.935559,-3810299.935759,3567921.611692,3652934.388797
nagoya,run1,"G,E","G,E",-,171,550414.200000,12,10.667444,90.722088,-3810299.826761,3567921.526547,3652934.194836
nagoya,run1,"G,E","G,E",-,172,550414.399999,12,10.886516,90.781862,-3810299.797030,3567921.776021,3652934.042638
nagoya,run1,"G,E","G,E",-,173,550414.600000,12,10.962969,90.787194,-3810299.803531,3567921.827392,3652933.979298
nagoya,run1,"G,E","G,E",-,174,550414.799999,12,10.624797,90.894252,-3810299.919430,3567921.605168,3652934.332291
nagoya,run1,"G,E","G,E",-,175,550415.000000,12,10.506177,90.771148,-3810299.804194,3567921.496604,3652934.365927
nagoya,run1,"G,E","G,E",-,176,550415.200000,12,10.303952,91.008294,-3810299.937726,3567921.499324,3652934.679883
nagoya,run1,"G,E","G,E",-,177,550415.399999,12,10.451649,90.705687,-3810299.792071,3567921.394198,3652934.374423
nagoya,run1,"G,E","G,E",-,178,550415.600000,12,10.529258,90.545666,-3810299.677924,3567921.376222,3652934.214701
nagoya,run1,"G,E","G,E",-,179,550415.799999,12,10.684898,90.526449,-3810299.651429,3567921.487288,3652934.068919
nagoya,run1,"G,E","G,E",-,180,550416.000000,12,10.721104,90.373889,-3810299.546867,3567921.439155,3652933.949695
nagoya,run1,"G,E","G,E",-,181,550416.200000,12,10.818338,90.473171,-3810299.579914,3567921.587800,3652933.924611
nagoya,run1,"G,E","G,E",-,182,550416.399999,13,26.525972,50.143608,-3810283.545393,3567869.802250,3652918.702529
nagoya,run1,"G,E","G,E",-,183,550416.600000,13,26.843546,50.020763,-3810283.541656,3567869.365643,3652918.530740
nagoya,run1,"G,E","G,E",-,184,550416.799999,13,25.735649,50.848301,-3810284.039209,3567871.260318,3652919.036340
nagoya,run1,"G,E","G,E",-,185,550417.000000,12,10.895398,90.435423,-3810299.615966,3567921.559729,3652933.832295
nagoya,run1,"G,E","G,E",-,186,550417.200000,12,11.039774,90.143924,-3810299.461972,3567921.471814,3652933.536558
nagoya,run1,"G,E","G,E",-,187,550417.399999,12,10.868357,90.258122,-3810299.550089,3567921.400452,3652933.750670
nagoya,run1,"G,E","G,E",-,188,550417.600000,12,10.704178,90.409432,-3810299.658580,3567921.355625,3652933.980651
nagoya,run1,"G,E","G,E",-,189,550417.799999,12,10.788286,90.120207,-3810299.504732,3567921.229976,3652933.738664
nagoya,run1,"G,E","G,E",-,190,550418.000000,12,10.412885,90.404458,-3810299.703670,3567921.101552,3652934.231211
nagoya,run1,"G,E","G,E",-,191,550418.200000,12,10.411895,90.290498,-3810299.616239,3567921.056632,3652934.166381
nagoya,run1,"G,E","G,E",-,192,550418.399999,12,10.509499,90.214236,-3810299.535497,3567921.117762,3652934.037643
nagoya,run1,"G,E","G,E",-,193,550418.600000,12,10.653306,90.053406,-3810299.402882,3567921.163153,3652933.820293
nagoya,run1,"G,E","G,E",-,194,550418.799999,12,10.581726,90.249439,-3810299.500159,3567921.245376,3652933.997232
nagoya,run1,"G,E","G,E",-,195,550419.000000,12,10.531529,90.288816,-3810299.549044,3567921.208170,3652934.062757
nagoya,run1,"G,E","G,E",-,196,550419.200000,12,10.059484,90.648746,-3810299.853915,3567920.987499,3652934.683895
nagoya,run1,"G,E","G,E",-,197,550419.399999,12,10.220207,90.685186,-3810299.895527,3567921.099707,3652934.563210
nagoya,run1,"G,E","G,E",-,198,550419.600000,11,5.923779,95.632031,-3810303.331260,3567918.996354,3652942.317618
nagoya,run1,"G,E","G,E",-,199,550419.799999,11,5.877762,95.760451,-3810303.376769,3567919.070682,3652942.426692
nagoya,run1,"G,E","G,E",-,200,550420.000000,11,5.900524,95.859700,-3810303.439637,3567919.164110,3652942.441132
nagoya,run1,"G,E","G,E",-,201,550420.200000,11,5.960598,95.789101,-3810303.447507,3567919.091082,3652942.374544
nagoya,run1,"G,E","G,E",-,202,550420.399999,11,5.951779,96.060768,-3810303.571225,3567919.347680,3652942.470974
nagoya,run1,"G,E","G,E",-,203,550420.600000,11,5.979734,96.004565,-3810303.562362,3567919.296632,3652942.428886
nagoya,run1,"G,E","G,E",-,204,550420.799999,11,5.979795,96.008829,-3810303.564040,3567919.301852,3652942.429494
nagoya,run1,"G,E","G,E",-,205,550421.000000,11,6.033527,95.988365,-3810303.576989,3567919.322662,3652942.355410
nagoya,run1,"G,E","G,E",-,206,550421.200000,12,14.197652,88.245950,-3810297.968571,3567922.716900,3652929.762580
nagoya,run1,"G,E","G,E",-,207,550421.399999,12,14.325169,88.171749,-3810297.916067,3567922.757235,3652929.611018
nagoya,run1,"G,E","G,E",-,208,550421.600000,12,14.200221,88.076965,-3810297.890570,3567922.601765,3652929.657081
nagoya,run1,"G,E","G,E",-,209,550421.799999,12,14.694708,88.110317,-3810297.831822,3567922.980641,3652929.266331
nagoya,run1,"G,E","G,E",-,210,550422.000000,12,14.662714,88.179837,-3810297.840337,3567923.029881,3652929.341536
nagoya,run1,"G,E","G,E",-,211,550422.200000,12,14.027053,88.577436,-3810298.157796,3567922.813404,3652930.104801
nagoya,run1,"G,E","G,E",-,212,550422.399999,12,14.217172,88.141995,-3810297.946992,3567922.633789,3652929.677153
nagoya,run1,"G,E","G,E",-,213,550422.600000,13,26.115406,44.952095,-3810280.891480,3567867.544309,3652913.285749
nagoya,run1,"G,E","G,E",-,214,550422.799999,13,25.233541,45.907269,-3810281.525769,3567869.320408,3652913.965440
nagoya,run1,"G,E","G,E",-,215,550423.000000,13,24.952098,46.662148,-3810281.992766,3567870.142702,3652914.559990
nagoya,run1,"G,E","G,E",-,216,550423.200000,12,14.365034,88.257637,-3810298.017988,3567922.786218,3652929.617032
nagoya,run1,"G,E","G,E",-,217,550423.399999,12,14.138511,88.383123,-3810298.081026,3567922.734633,3652929.887821
nagoya,run1,"G,E","G,E",-,218,550423.600000,12,14.129838,88.495660,-3810298.161028,3567922.781712,3652929.958668
nagoya,run1,"G,E","G,E",-,219,550423.799999,12,14.092604,88.777768,-3810298.291788,3567922.954754,3652930.162852
nagoya,run1,"G,E","G,E",-,220,550424.000000,12,14.429271,88.685319,-3810298.178194,3567923.152429,3652929.830945
nagoya,run1,"G,E","G,E",-,221,550424.200000,12,14.536007,88.851049,-3810298.247227,3567923.335992,3652929.842349
nagoya,run1,"G,E","G,E",-,222,550424.399999,12,14.428259,88.863196,-3810298.332155,3567923.212669,3652929.926282
nagoya,run1,"G,E","G,E",-,223,550424.600000,12,13.726086,89.130433,-3810298.533479,3567922.907713,3652930.677817
nagoya,run1,"G,E","G,E",-,224,550424.799999,12,13.485736,89.291653,-3810298.653618,3567922.833625,3652930.973832
nagoya,run1,"G,E","G,E",-,225,550425.000000,12,13.837354,88.776769,-3810298.304858,3567922.788050,3652930.378913
nagoya,run1,"G,E","G,E",-,226,550425.200000,13,39.977014,39.988387,-3810262.768805,3567833.743291,3652899.672242
