epoch,gps_tow,satellite_count,truth_x,truth_y,truth_z,truth_cb,wls_x,wls_y,wls_z,wls_cb,pf_x,pf_y,pf_z,pf_cb,pf3d_bvh_x,pf3d_bvh_y,pf3d_bvh_z,pf3d_bvh_cb
13,555919.199999,7,-3810130.308000,3567838.129000,3653033.973000,113865.523414,-3810168.792794,3567782.220206,3653073.545942,113877.912870,-3810180.118614,3567789.749691,3653073.571842,113886.878719,-3810174.308093,3567784.800827,3653068.043646,113870.018806
14,555919.399999,7,-3810129.890000,3567837.714000,3653034.801000,113857.160731,-3810168.331035,3567781.710137,3653074.540889,113869.730167,-3810178.789063,3567788.134352,3653073.930174,113877.717575,-3810172.312382,3567782.791123,3653068.588182,113859.314350
15,555919.600000,6,-3810129.483000,3567837.309000,3653035.613000,113842.747946,-3810167.293051,3567781.207171,3653075.068281,113861.168526,-3810178.954341,3567787.992106,3653074.612948,113869.897809,-3810170.183762,3567782.019443,3653068.232753,113850.152330
16,555919.800000,6,-3810129.094000,3567836.922000,3653036.393000,113835.092623,-3810167.450270,3567781.862713,3653076.736621,113854.254208,-3810177.545362,3567785.880133,3653073.919912,113860.955257,-3810169.959172,3567782.183504,3653069.011032,113843.088194
17,555920.000000,6,-3810128.722000,3567836.549000,3653037.137000,113827.473410,-3810167.923619,3567783.025546,3653078.817287,113847.864932,-3810176.648184,3567785.473332,3653074.772297,113852.630825,-3810169.750406,3567781.776131,3653069.638870,113835.626273
18,555920.199999,6,-3810128.366000,3567836.193000,3653037.845000,113819.888429,-3810168.238830,3567784.315569,3653080.952529,113841.469689,-3810176.303946,3567784.442645,3653075.720103,113845.250876,-3810168.211527,3567781.450388,3653070.249332,113826.085355
19,555920.399999,5,-3810128.026000,3567835.849000,3653038.527000,113821.383991,-3810239.465497,3567868.239542,3653159.640280,113942.504937,-3810177.245096,3567785.694781,3653078.441523,113842.843987,-3810167.779962,3567781.737019,3653072.330424,113821.367142
20,555920.600000,5,-3810127.705000,3567835.523000,3653039.176000,113812.683408,-3810235.492631,3567867.064782,3653159.340858,113931.312004,-3810178.022224,3567786.827585,3653079.994289,113833.574170,-3810167.619038,3567782.910089,3653072.685020,113813.941037
21,555920.800000,5,-3810127.397000,3567835.212000,3653039.793000,113804.544416,-3810234.702753,3567866.564446,3653159.718176,113922.818016,-3810178.328785,3567787.793784,3653080.985997,113828.861228,-3810167.725318,3567783.073042,3653074.571259,113808.648461
22,555921.000000,5,-3810127.107000,3567834.916000,3653040.376000,113796.483131,-3810232.985754,3567865.891350,3653159.740391,113913.540369,-3810177.451417,3567788.426363,3653082.882855,113821.311714,-3810167.385442,3567783.741408,3653075.148748,113799.735097
23,555921.199999,5,-3810126.834000,3567834.634000,3653040.928000,113788.636193,-3810233.632370,3567865.910088,3653160.544935,113906.393613,-3810178.016745,3567789.863858,3653085.241830,113816.569427,-3810166.780008,3567784.427883,3653075.693170,113794.209538
24,555921.399999,6,-3810126.576000,3567834.370000,3653041.447000,113771.963582,-3810165.961383,3567784.704002,3653086.263963,113794.547130,-3810178.365581,3567789.741025,3653085.233117,113804.429545,-3810165.815978,3567784.327743,3653076.624073,113781.501557
25,555921.600000,6,-3810126.334000,3567834.123000,3653041.935000,113763.673523,-3810164.893035,3567783.866271,3653086.345575,113785.563388,-3810178.628517,3567788.889160,3653086.198621,113795.797987,-3810164.335346,3567783.936544,3653077.191526,113772.223137
26,555921.800000,6,-3810126.105000,3567833.890000,3653042.394000,113755.677551,-3810163.977769,3567783.674641,3653086.856124,113777.155287,-3810177.912896,3567788.072247,3653086.497682,113786.231142,-3810163.306961,3567784.040019,3653077.110617,113762.998704
27,555922.000000,6,-3810125.891000,3567833.676000,3653042.822000,113747.862040,-3810164.710682,3567783.379475,3653087.427401,113769.832775,-3810176.683448,3567787.851928,3653087.704154,113778.534200,-3810162.060230,3567783.158215,3653077.165761,113754.453454
28,555922.199999,6,-3810125.693000,3567833.475000,3653043.220000,113739.636796,-3810164.114422,3567782.171874,3653087.058125,113760.965264,-3810176.759266,3567788.554136,3653089.113039,113772.255648,-3810161.910042,3567782.968320,3653077.078052,113747.308540
29,555922.399999,6,-3810125.512000,3567833.287000,3653043.587000,113731.017341,-3810162.559385,3567780.808352,3653086.433933,113751.140515,-3810175.575633,3567787.412386,3653088.732708,113762.877788,-3810162.179901,3567782.878433,3653078.157980,113739.887164
30,555922.600000,6,-3810125.346000,3567833.126000,3653043.918000,113722.507260,-3810161.927050,3567779.372032,3653085.542229,113741.914969,-3810174.579095,3567786.612488,3653088.064093,113754.006374,-3810161.076290,3567783.119140,3653078.028677,113730.328512
31,555922.800000,6,-3810125.197000,3567832.980000,3653044.214000,113714.163819,-3810161.194142,3567778.467491,3653085.043062,113732.890486,-3810174.290538,3567785.525804,3653087.824841,113745.027877,-3810161.399466,3567783.377034,3653078.097623,113721.751785
32,555923.000000,6,-3810125.063000,3567832.842000,3653044.478000,113706.194587,-3810163.011727,3567778.069741,3653085.233516,113726.117345,-3810173.777534,3567785.636442,3653088.172233,113736.775042,-3810161.041619,3567782.975275,3653078.272553,113714.574920
33,555923.199999,5,-3810124.943000,3567832.719000,3653044.719000,113692.470970,-3810060.442267,3567751.918585,3653053.641871,113625.617159,-3810171.941080,3567784.732326,3653088.082391,113724.549387,-3810160.032890,3567782.314250,3653078.576628,113701.562410
34,555923.399999,5,-3810124.834000,3567832.611000,3653044.937000,113684.413870,-3810060.775544,3567751.924198,3653053.887212,113617.997716,-3810170.658293,3567783.923532,3653087.756354,113715.200312,-3810159.383567,3567781.960655,3653078.992664,113695.281080
35,555923.600000,5,-3810124.738000,3567832.511000,3653045.131000,113676.179856,-3810060.715205,3567751.567290,3653053.608266,113609.770321,-3810169.086556,3567782.162507,3653087.296169,113705.224336,-3810157.961453,3567781.200610,3653079.159763,113684.988679
36,555923.800000,5,-3810124.654000,3567832.424000,3653045.301000,113667.779523,-3810060.504868,3567750.866690,3653052.934913,113601.223111,-3810168.289036,3567781.951133,3653088.043944,113696.964246,-3810157.705560,3567781.172661,3653079.685519,113676.416348
37,555924.000000,5,-3810124.579000,3567832.351000,3653045.451000,113660.042502,-3810060.618706,3567751.305829,3653053.321844,113593.703476,-3810167.976528,3567782.372067,3653088.826450,113689.165628,-3810156.600862,3567781.636404,3653079.418000,113669.049167
38,555924.199999,5,-3810124.516000,3567832.288000,3653045.577000,113652.050201,-3810060.922588,3567751.248873,3653053.458701,113586.037079,-3810168.348644,3567782.355567,3653089.490915,113682.631426,-3810156.630274,3567782.257413,3653080.040035,113660.676689
39,555924.399999,5,-3810124.465000,3567832.237000,3653045.681000,113643.904954,-3810061.395112,3567751.212269,3653053.468992,113578.387355,-3810167.829127,3567782.910105,3653089.519354,113672.887380,-3810156.592303,3567782.287244,3653080.967515,113653.691324
40,555924.600000,5,-3810124.425000,3567832.195000,3653045.762000,113636.093872,-3810060.415202,3567751.329487,3653053.264288,113569.738699,-3810166.988478,3567782.508466,3653089.269094,113664.922106,-3810156.294267,3567782.284815,3653081.805323,113647.119774
41,555924.800000,5,-3810124.395000,3567832.165000,3653045.821000,113628.154640,-3810060.351591,3567751.460667,3653053.602271,113561.744258,-3810166.692997,3567782.311186,3653089.222381,113657.150415,-3810156.869011,3567783.067144,3653081.537277,113639.436954
42,555925.000000,5,-3810124.377000,3567832.148000,3653045.858000,113620.241261,-3810061.176768,3567751.661094,3653054.424717,113554.559477,-3810165.830477,3567781.774616,3653090.439668,113646.901691,-3810156.428166,3567783.033025,3653082.673683,113629.741599
43,555925.199999,5,-3810124.373000,3567832.144000,3653045.869000,113612.311424,-3810061.841796,3567751.973122,3653055.057364,113547.261422,-3810164.631285,3567781.267220,3653090.610046,113638.944295,-3810156.863439,3567782.940182,3653084.167136,113622.560632
44,555925.399999,5,-3810124.374000,3567832.144000,3653045.868000,113604.402635,-3810062.285384,3567752.119336,3653055.508857,113539.743244,-3810164.064003,3567781.015107,3653089.787143,113630.112571,-3810157.387004,3567784.012853,3653085.784511,113615.792591
45,555925.600000,5,-3810124.376000,3567832.147000,3653045.868000,113596.377483,-3810062.252599,3567752.088215,3653055.567510,113531.666221,-3810163.235499,3567780.866247,3653090.565296,113621.725324,-3810157.558448,3567784.601234,3653085.567298,113607.903982
46,555925.800000,5,-3810124.376000,3567832.146000,3653045.868000,113588.321225,-3810062.467826,3567752.185367,3653055.657828,113523.820412,-3810163.142712,3567780.936731,3653090.645147,113615.340961,-3810157.371555,3567784.503914,3653086.370286,113600.188629
47,555926.000000,5,-3810124.376000,3567832.146000,3653045.868000,113580.270253,-3810062.322912,3567752.059213,3653055.553683,113515.598222,-3810163.391164,3567781.383843,3653090.392464,113605.600816,-3810157.864980,3567784.902226,3653087.614966,113591.112190
48,555926.199999,5,-3810124.376000,3567832.146000,3653045.868000,113572.252405,-3810061.162420,3567751.634590,3653054.849988,113506.450954,-3810162.780886,3567781.758625,3653090.141129,113597.654431,-3810158.118975,3567785.408356,3653087.629011,113585.086470
49,555926.399999,5,-3810124.376000,3567832.146000,3653045.868000,113564.191797,-3810061.219998,3567751.680193,3653054.858319,113498.468940,-3810162.571383,3567782.171965,3653090.390867,113591.259408,-3810158.197585,3567784.910614,3653087.981495,113575.504200
50,555926.600000,5,-3810124.376000,3567832.147000,3653045.868000,113556.168048,-3810061.147517,3567751.621771,3653054.763946,113490.359400,-3810162.569338,3567782.221940,3653090.142452,113583.154780,-3810157.895511,3567784.684361,3653087.959222,113569.157943
51,555926.800000,5,-3810124.376000,3567832.147000,3653045.868000,113548.220193,-3810061.296986,3567751.662858,3653054.865777,113482.518653,-3810162.360445,3567782.586230,3653091.240292,113574.651888,-3810157.875320,3567784.722658,3653088.558221,113562.254392
52,555927.000000,5,-3810124.376000,3567832.147000,3653045.868000,113540.186795,-3810061.155497,3567751.545597,3653054.774014,113474.330035,-3810161.920173,3567782.708014,3653091.447382,113566.186434,-3810157.346301,3567784.348192,3653088.768626,113553.030827
53,555927.199999,5,-3810124.376000,3567832.147000,3653045.868000,113532.120780,-3810061.046428,3567751.346212,3653054.630699,113466.119600,-3810161.386666,3567782.567317,3653091.506672,113555.831016,-3810156.355409,3567784.280868,3653089.162189,113543.765268
54,555927.399999,5,-3810124.376000,3567832.147000,3653045.868000,113524.114444,-3810061.207343,3567751.471234,3653054.730820,113458.260474,-3810160.855144,3567782.462220,3653091.361894,113548.637134,-3810155.155805,3567784.579586,3653089.061998,113536.329786
55,555927.600000,5,-3810124.376000,3567832.146000,3653045.868000,113516.138212,-3810061.303952,3567751.540741,3653054.803562,113450.374750,-3810160.423782,3567782.146450,3653091.775544,113539.144924,-3810155.606602,3567784.944791,3653088.724563,113525.055844
56,555927.800000,5,-3810124.376000,3567832.147000,3653045.868000,113508.153169,-3810061.584097,3567751.582370,3653054.912566,113442.613790,-3810159.656587,3567782.264442,3653091.443254,113531.942598,-3810154.593119,3567784.714681,3653088.905571,113518.287319
57,555928.000000,6,-3810124.376000,3567832.146000,3653045.868000,113510.001161,-3810217.217884,3567798.736461,3653113.478236,113577.488809,-3810160.472369,3567781.235190,3653090.896897,113530.944061,-3810155.980917,3567784.596996,3653088.986200,113518.834084
58,555928.199999,6,-3810124.376000,3567832.147000,3653045.868000,113502.143679,-3810217.302228,3567798.669331,3653113.355580,113569.445957,-3810161.982402,3567780.508502,3653090.753277,113524.331255,-3810157.349609,3567784.218779,3653088.196562,113509.669786
59,555928.399999,6,-3810124.376000,3567832.147000,3653045.868000,113494.128666,-3810217.179734,3567798.557641,3653113.172668,113561.235108,-3810163.082637,3567780.354708,3653090.524100,113516.023789,-3810158.708837,3567784.575719,3653087.041611,113503.082303
60,555928.600000,6,-3810124.376000,3567832.147000,3653045.868000,113486.243491,-3810217.471630,3567798.611482,3653113.323831,113553.482971,-3810164.533887,3567780.177353,3653090.285290,113507.668834,-3810160.214165,3567784.320565,3653085.418311,113495.837800
61,555928.800000,6,-3810124.376000,3567832.147000,3653045.868000,113478.011171,-3810217.363837,3567798.543638,3653113.266768,113545.343832,-3810165.188488,3567779.213206,3653089.401940,113500.066105,-3810161.739174,3567784.601718,3653085.408704,113487.624776
62,555929.000000,6,-3810124.376000,3567832.147000,3653045.868000,113469.736234,-3810216.653432,3567798.257813,3653113.000470,113536.607235,-3810165.635083,3567778.928710,3653089.538063,113492.296724,-3810162.567896,3567784.716702,3653084.851164,113481.661193
63,555929.199999,6,-3810124.376000,3567832.147000,3653045.868000,113461.530681,-3810215.930458,3567798.040168,3653112.704470,113527.911079,-3810168.015366,3567779.152986,3653089.500388,113485.217437,-3810163.890479,3567784.760964,3653083.963717,113473.947035
64,555929.399999,6,-3810124.376000,3567832.146000,3653045.868000,113453.777524,-3810216.138307,3567798.161947,3653112.849368,113520.139517,-3810169.322876,3567780.144606,3653090.173675,113477.988958,-3810165.312449,3567784.321627,3653084.737183,113465.373841
65,555929.600000,6,-3810124.376000,3567832.147000,3653045.868000,113445.517970,-3810216.021991,3567798.194840,3653112.840883,113512.065823,-3810170.446726,3567780.133701,3653089.379106,113471.366007,-3810167.263227,3567785.351776,3653084.366658,113460.224126
66,555929.800000,6,-3810124.376000,3567832.147000,3653045.868000,113437.365715,-3810215.721035,3567798.062506,3653112.690700,113503.745468,-3810171.902799,3567780.355479,3653089.065348,113464.052127,-3810168.214068,3567785.096010,3653082.969590,113452.603911
67,555930.000000,6,-3810124.376000,3567832.146000,3653045.868000,113429.539859,-3810215.997928,3567798.164103,3653112.810904,113495.973564,-3810173.178509,3567780.900868,3653089.232723,113458.927170,-3810169.812431,3567784.895090,3653082.975069,113446.722220
68,555930.199999,6,-3810124.376000,3567832.147000,3653045.868000,113421.677157,-3810216.172920,3567798.171938,3653112.809616,113488.069022,-3810173.647773,3567781.408450,3653089.826447,113450.431848,-3810171.445847,3567784.953971,3653083.665457,113437.686685
69,555930.399999,6,-3810124.376000,3567832.146000,3653045.868000,113413.540997,-3810215.551769,3567797.960693,3653112.605998,113479.473727,-3810175.051569,3567780.959454,3653090.452569,113441.809522,-3810171.906401,3567785.017899,3653083.638524,113430.060569
70,555930.600000,6,-3810124.376000,3567832.146000,3653045.868000,113405.242518,-3810215.030479,3567797.736826,3653112.384518,113470.953536,-3810175.910562,3567780.722027,3653090.238813,113435.574174,-3810173.239284,3567784.945876,3653083.715680,113423.100607
71,555930.800000,6,-3810124.376000,3567832.147000,3653045.868000,113397.064333,-3810214.674001,3567797.720047,3653112.347185,113462.635100,-3810176.134102,3567781.341587,3653090.476031,113428.402967,-3810174.817686,3567784.707340,3653083.458930,113415.172134
72,555931.000000,6,-3810124.376000,3567832.146000,3653045.868000,113389.088684,-3810214.809153,3567797.771308,3653112.433741,113454.725437,-3810176.971043,3567781.520504,3653090.405050,113419.877087,-3810176.284127,3567785.024882,3653083.715742,113409.334342
73,555931.199999,6,-3810124.376000,3567832.147000,3653045.868000,113381.066501,-3810214.755681,3567797.694978,3653112.305399,113446.606765,-3810178.577026,3567781.634717,3653090.638203,113412.776057,-3810177.084699,3567784.804927,3653083.339289,113400.694468
74,555931.399999,6,-3810124.376000,3567832.147000,3653045.868000,113373.184243,-3810215.249530,3567797.801961,3653112.523928,113439.026635,-3810179.465114,3567781.796828,3653090.652190,113406.988432,-3810178.174450,3567784.925374,3653083.559886,113394.366273
75,555931.600000,6,-3810124.376000,3567832.146000,3653045.868000,113365.153723,-3810215.114004,3567797.731254,3653112.470293,113430.890175,-3810179.674750,3567781.508903,3653090.530766,113397.529154,-3810179.207050,3567785.263992,3653083.728543,113385.678956
76,555931.800000,6,-3810124.376000,3567832.147000,3653045.868000,113357.058384,-3810214.754124,3567797.659729,3653112.414519,113422.625717,-3810180.536590,3567782.077726,3653091.322098,113390.787544,-3810179.783882,3567785.370173,3653083.984205,113380.408144
77,555932.000000,6,-3810124.376000,3567832.147000,3653045.868000,113349.001841,-3810214.399768,3567797.529403,3653112.203610,113414.271215,-3810181.166589,3567782.126180,3653091.193726,113384.387103,-3810180.582983,3567784.901097,3653083.613591,113372.865728
78,555932.200000,6,-3810124.376000,3567832.147000,3653045.868000,113340.380358,-3810213.305547,3567797.109708,3653111.775666,113405.158402,-3810181.539070,3567782.077375,3653091.588247,113373.657189,-3810181.375116,3567784.988784,3653083.729163,113362.943894
79,555932.399999,6,-3810124.376000,3567832.147000,3653045.868000,113332.293495,-3810212.652737,3567796.891020,3653111.489412,113396.459891,-3810182.765624,3567783.250171,3653092.596160,113366.608553,-3810182.166875,3567785.642283,3653084.105689,113354.585448
80,555932.600000,6,-3810124.376000,3567832.146000,3653045.868000,113324.308902,-3810212.681493,3567796.798783,3653111.439180,113388.376921,-3810183.721080,3567783.521694,3653092.585166,113360.680913,-3810182.948902,3567785.930640,3653084.544103,113348.708729
81,555932.799999,6,-3810124.376000,3567832.147000,3653045.868000,113317.157381,-3810214.158981,3567797.275408,3653111.972287,113381.723926,-3810184.396501,3567783.426296,3653091.993536,113354.114000,-3810182.326549,3567785.829496,3653085.306354,113340.705283
82,555933.000000,6,-3810124.376000,3567832.147000,3653045.868000,113309.100010,-3810214.204496,3567797.249002,3653111.916327,113373.706496,-3810184.715624,3567783.263028,3653092.096547,113345.126353,-3810183.180398,3567786.023174,3653085.951743,113333.308764
83,555933.200000,6,-3810124.376000,3567832.146000,3653045.868000,113300.853588,-3810213.677804,3567797.113333,3653111.693564,113365.177891,-3810185.897886,3567783.713808,3653092.241075,113339.742751,-3810184.599400,3567787.187568,3653086.566239,113328.609296
84,555933.399999,7,-3810124.376000,3567832.147000,3653045.868000,113301.525259,-3810220.186633,3567791.412655,3653103.824746,113360.247912,-3810187.377242,3567783.622804,3653091.933760,113336.577295,-3810185.449559,3567787.059058,3653086.913881,113323.652230
85,555933.600000,7,-3810124.376000,3567832.146000,3653045.868000,113293.994703,-3810220.042067,3567791.160742,3653103.511480,113352.001644,-3810188.757297,3567783.225157,3653091.602603,113328.773737,-3810186.283778,3567787.175920,3653086.881491,113317.268325
86,555933.799999,7,-3810124.376000,3567832.147000,3653045.868000,113286.066035,-3810220.127547,3567791.275386,3653103.650506,113344.038424,-3810189.331243,3567782.959820,3653091.088185,113320.635301,-3810187.339616,3567787.490147,3653087.403025,113310.734644
87,555934.000000,7,-3810124.376000,3567832.146000,3653045.868000,113278.178176,-3810219.695891,3567791.212144,3653103.452440,113335.640951,-3810190.629209,3567783.072597,3653090.649507,113313.076086,-3810188.179594,3567788.021080,3653088.340696,113302.594581
88,555934.200000,7,-3810124.376000,3567832.146000,3653045.868000,113269.838242,-3810219.354789,3567791.116839,3653103.319661,113327.289699,-3810191.305403,3567782.957943,3653090.680558,113306.249670,-3810188.717091,3567788.056833,3653087.523151,113294.044905
89,555934.399999,7,-3810124.376000,3567832.146000,3653045.868000,113262.167501,-3810219.455597,3567791.101389,3653103.230539,113319.365534,-3810191.887010,3567782.678347,3653090.737283,113298.035901,-3810188.709760,3567787.789472,3653086.622018,113287.080894
90,555934.600000,7,-3810124.376000,3567832.146000,3653045.868000,113254.156366,-3810219.262016,3567790.993075,3653103.047513,113311.141444,-3810192.519569,3567782.069623,3653091.080785,113288.871948,-3810190.233544,3567787.945717,3653087.152379,113280.142952
91,555934.799999,7,-3810124.376000,3567832.147000,3653045.868000,113246.430324,-3810219.210553,3567790.983109,3653103.014786,113303.090890,-3810192.438206,3567782.104804,3653091.252203,113281.043239,-3810190.300913,3567787.885585,3653086.728205,113271.863479
92,555935.000000,7,-3810124.376000,3567832.146000,3653045.868000,113238.510995,-3810219.423659,3567790.895866,3653102.931384,113295.205378,-3810192.566314,3567781.640897,3653090.746660,113273.056438,-3810190.199561,3567787.569078,3653086.359108,113262.998970
93,555935.200000,7,-3810124.375000,3567832.146000,3653045.868000,113230.463431,-3810219.246995,3567791.017916,3653103.037445,113287.122137,-3810192.980349,3567781.486144,3653090.100899,113264.599184,-3810190.816513,3567787.441980,3653086.743648,113254.958584
94,555935.399999,7,-3810124.375000,3567832.147000,3653045.867000,113222.284324,-3810219.091445,3567791.024642,3653103.009673,113278.991213,-3810193.618375,3567781.115799,3653090.311601,113258.701621,-3810192.057292,3567787.804867,3653086.920390,113249.157324
95,555935.600000,7,-3810124.371000,3567832.141000,3653045.874000,113214.004441,-3810218.827592,3567790.934851,3653102.901131,113270.735399,-3810193.483005,3567781.412178,3653090.058111,113249.881860,-3810192.104052,3567787.683125,3653086.805126,113239.126398
96,555935.799999,7,-3810124.359000,3567832.131000,3653045.895000,113206.017376,-3810218.705473,3567790.887714,3653102.851223,113262.703357,-3810193.673902,3567781.984899,3653089.620755,113240.734351,-3810192.696296,3567787.437167,3653086.518207,113231.097827
97,555936.000000,7,-3810124.340000,3567832.112000,3653045.934000,113197.561571,-3810218.473063,3567791.254972,3653103.228020,113254.857518,-3810193.881770,3567782.057949,3653089.733123,113233.986419,-3810193.885495,3567786.737244,3653086.497009,113224.720682
98,555936.200000,7,-3810124.303000,3567832.073000,3653046.009000,113188.293991,-3810217.789735,3567791.361366,3653103.695028,113246.393721,-3810194.292795,3567781.963158,3653090.297730,113224.250058,-3810194.667610,3567786.493006,3653086.857209,113215.365346
99,555936.399999,7,-3810124.243000,3567832.010000,3653046.131000,113180.880807,-3810217.805509,3567790.779722,3653103.427971,113238.337019,-3810194.198509,3567781.328284,3653089.891816,113219.605933,-3810194.806179,3567786.281763,3653086.462630,113209.411521
