epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_10k,est_x_pf3d_10k,est_y_pf3d_10k,est_z_pf3d_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
10,187472.000000,9,-3961767.630000,3349008.712000,3698309.780000,53.452213,-3961782.132635,3348953.952101,3698311.325934,53.434635,-3961782.159772,3348953.984714,3698311.311031,54.428774,-3961785.042676,3348954.212891,3698310.031877,35.146463,-3961790.591213,3348986.646248,3698330.889357,35.146463,-3961790.591213,3348986.646248,3698330.889357
11,187472.200000,9,-3961767.630000,3349008.712000,3698309.780000,53.465666,-3961782.520460,3348954.247865,3698311.632769,53.433691,-3961782.252122,3348954.081030,3698311.459255,53.302301,-3961783.533572,3348954.432841,3698309.216124,35.143614,-3961790.329054,3348986.358812,3698330.475103,35.143614,-3961790.329054,3348986.358812,3698330.475103
12,187472.399999,9,-3961767.630000,3349008.712000,3698309.780000,53.571513,-3961782.211876,3348953.892017,3698311.454003,53.538430,-3961782.162395,3348953.891697,3698311.415078,53.577504,-3961783.768951,3348954.420732,3698309.935245,35.430421,-3961789.943411,3348985.461708,3698329.535135,35.430421,-3961789.943411,3348985.461708,3698329.535135
13,187472.600000,9,-3961767.630000,3349008.712000,3698309.780000,53.566141,-3961782.151223,3348953.877337,3698311.504643,53.549881,-3961782.068113,3348953.829485,3698311.437383,53.955934,-3961784.704139,3348954.544221,3698309.923087,35.793533,-3961790.317236,3348985.308204,3698329.779126,35.793533,-3961790.317236,3348985.308204,3698329.779126
14,187472.799999,9,-3961767.630000,3349008.712000,3698309.780000,53.694507,-3961782.006340,3348953.648633,3698311.533268,53.661840,-3961781.960473,3348953.645864,3698311.480063,54.961122,-3961785.211114,3348953.753701,3698310.353907,36.353067,-3961790.022234,3348984.264728,3698329.156871,36.353067,-3961790.022234,3348984.264728,3698329.156871
15,187473.000000,9,-3961767.630000,3349008.712000,3698309.780000,53.682129,-3961781.908973,3348953.604600,3698311.524682,53.671688,-3961781.851708,3348953.570816,3698311.478613,54.487440,-3961783.978473,3348953.569130,3698310.384602,36.790845,-3961789.284050,3348983.302787,3698328.907388,36.790845,-3961789.284050,3348983.302787,3698328.907388
16,187473.200000,9,-3961767.630000,3349008.712000,3698309.780000,53.754831,-3961782.539935,3348954.067850,3698312.175046,53.706407,-3961782.123427,3348953.805020,3698311.894364,54.309918,-3961784.315633,3348954.043680,3698310.608214,36.775708,-3961788.963658,3348982.958046,3698328.376588,36.775708,-3961788.963658,3348982.958046,3698328.376588
17,187473.399999,9,-3961767.630000,3349008.712000,3698309.780000,53.676306,-3961782.367207,3348954.039127,3698312.096363,53.667208,-3961782.186804,3348953.915500,3698311.989836,54.299721,-3961784.783653,3348954.426716,3698310.947632,36.710187,-3961789.081575,3348982.933082,3698327.974086,36.710187,-3961789.081575,3348982.933082,3698327.974086
18,187473.600000,9,-3961767.630000,3349008.712000,3698309.780000,53.766815,-3961782.311371,3348953.945559,3698312.256834,53.737873,-3961782.192448,3348953.883611,3698312.159537,54.566190,-3961784.760490,3348954.228597,3698311.487566,36.766782,-3961789.491885,3348983.040662,3698327.910603,36.766782,-3961789.491885,3348983.040662,3698327.910603
19,187473.799999,9,-3961767.630000,3349008.712000,3698309.780000,53.704594,-3961782.306834,3348953.979706,3698312.127684,53.705413,-3961782.216235,3348953.918462,3698312.099260,54.420362,-3961785.380507,3348954.868609,3698311.837870,37.033663,-3961789.544104,3348982.716593,3698327.816484,37.033663,-3961789.544104,3348982.716593,3698327.816484
20,187474.000000,9,-3961767.630000,3349008.712000,3698309.780000,53.610030,-3961782.323363,3348954.056918,3698311.971228,53.623077,-3961782.242304,3348953.992522,3698311.963875,53.993111,-3961784.825043,3348955.022713,3698311.759288,37.042660,-3961789.596403,3348982.785079,3698327.957482,37.042660,-3961789.596403,3348982.785079,3698327.957482
21,187474.200000,9,-3961767.630000,3349008.712000,3698309.780000,53.777895,-3961782.399504,3348953.968491,3698312.206412,53.740421,-3961782.287106,3348953.922879,3698312.117650,54.590488,-3961785.188486,3348954.524076,3698311.742850,36.733907,-3961789.572441,3348982.919919,3698327.380690,36.733907,-3961789.572441,3348982.919919,3698327.380690
22,187474.399999,9,-3961767.630000,3349008.712000,3698309.780000,53.732121,-3961782.555202,3348954.151428,3698312.341940,53.720842,-3961782.383006,3348954.036128,3698312.238731,55.058939,-3961785.510272,3348954.121518,3698311.592415,36.511162,-3961789.479476,3348982.977747,3698326.951091,36.511162,-3961789.479476,3348982.977747,3698326.951091
23,187474.600000,9,-3961767.630000,3349008.712000,3698309.780000,53.800567,-3961782.538265,3348954.090479,3698312.446651,53.777641,-3961782.429696,3348954.032849,3698312.368494,55.423345,-3961785.271168,3348953.544234,3698311.612315,36.367801,-3961789.487735,3348983.117995,3698326.861131,36.367801,-3961789.487735,3348983.117995,3698326.861131
24,187474.799999,9,-3961767.630000,3349008.712000,3698309.780000,53.804918,-3961782.364433,3348953.971922,3698312.399222,53.799471,-3961782.362730,3348953.974778,3698312.390117,55.860675,-3961784.348589,3348952.605081,3698312.134152,36.592027,-3961789.527593,3348982.881643,3698326.881876,36.592027,-3961789.527593,3348982.881643,3698326.881876
25,187475.000000,9,-3961767.630000,3349008.712000,3698309.780000,53.987489,-3961782.001463,3348953.536541,3698312.360367,53.963176,-3961782.146054,3348953.662381,3698312.410241,56.120734,-3961784.906733,3348952.590168,3698311.998071,36.820657,-3961789.862156,3348982.734260,3698326.747724,36.820657,-3961789.862156,3348982.734260,3698326.747724
26,187475.200000,9,-3961767.630000,3349008.712000,3698309.780000,54.147118,-3961782.059450,3348953.455343,3698312.615442,54.114084,-3961782.059763,3348953.482487,3698312.574178,56.359609,-3961785.706671,3348952.864658,3698312.304681,36.627082,-3961789.535166,3348982.640531,3698326.312171,36.627082,-3961789.535166,3348982.640531,3698326.312171
27,187475.399999,9,-3961767.630000,3349008.712000,3698309.780000,54.437037,-3961782.848341,3348953.864780,3698313.646271,54.345373,-3961782.403465,3348953.617338,3698313.294224,56.691148,-3961786.002592,3348952.554834,3698311.944103,36.548109,-3961789.394709,3348982.625700,3698326.210916,36.548109,-3961789.394709,3348982.625700,3698326.210916
28,187475.600000,9,-3961767.630000,3349008.712000,3698309.780000,54.336869,-3961783.344652,3348954.373422,3698314.013726,54.309257,-3961782.850255,3348954.040287,3698313.722163,57.319320,-3961785.745818,3348951.635495,3698311.897109,36.835946,-3961789.525754,3348982.573774,3698326.827314,36.835946,-3961789.525754,3348982.573774,3698326.827314
29,187475.799999,9,-3961767.630000,3349008.712000,3698309.780000,54.426284,-3961782.913620,3348953.983636,3698313.876178,54.407545,-3961782.876668,3348953.976018,3698313.846066,57.062266,-3961786.137935,3348952.175516,3698311.875440,37.036741,-3961789.447770,3348982.509238,3698327.400656,37.036741,-3961789.447770,3348982.509238,3698327.400656
30,187476.000000,8,-3961767.630000,3349008.712000,3698309.780000,67.985603,-3961811.103226,3348966.784867,3698353.336302,62.343666,-3961793.443674,3348957.837504,3698335.270859,57.558998,-3961786.995434,3348952.371686,3698312.941048,37.248419,-3961789.089293,3348982.332060,3698328.045746,37.248419,-3961789.089293,3348982.332060,3698328.045746
31,187476.200000,8,-3961767.630000,3349008.712000,3698309.780000,67.990404,-3961811.132818,3348966.803621,3698353.362725,65.829205,-3961801.871123,3348961.830411,3698345.360955,57.980721,-3961787.223634,3348952.297969,3698314.062428,37.625656,-3961789.149447,3348982.051438,3698328.387234,37.625656,-3961789.149447,3348982.051438,3698328.387234
32,187476.399999,9,-3961767.630000,3349008.712000,3698309.780000,54.225877,-3961782.988309,3348954.206005,3698313.685943,56.888083,-3961792.685304,3348959.181593,3698322.586822,58.313281,-3961787.538943,3348952.158856,3698314.325974,37.570895,-3961789.023557,3348981.974093,3698328.179453,37.570895,-3961789.023557,3348981.974093,3698328.179453
33,187476.600000,9,-3961767.630000,3349008.712000,3698309.780000,54.089382,-3961783.415141,3348954.615111,3698313.704336,54.962159,-3961788.095967,3348957.210398,3698316.981799,58.578832,-3961787.358730,3348951.750497,3698314.382058,37.892415,-3961789.119241,3348981.796824,3698328.571404,37.892415,-3961789.119241,3348981.796824,3698328.571404
34,187476.799999,9,-3961767.630000,3349008.712000,3698309.780000,54.245763,-3961783.623621,3348954.643181,3698314.027089,54.528969,-3961785.818983,3348955.939924,3698315.328728,57.885379,-3961787.014235,3348952.260188,3698313.960681,38.058573,-3961789.433589,3348981.710797,3698328.471129,38.058573,-3961789.433589,3348981.710797,3698328.471129
35,187477.000000,8,-3961767.630000,3349008.712000,3698309.780000,67.795115,-3961811.474113,3348967.176585,3698353.357753,62.345133,-3961795.273486,3348959.090070,3698336.311470,58.318649,-3961786.945137,3348952.201743,3698315.743878,38.082648,-3961788.761178,3348981.429693,3698328.630481,38.082648,-3961788.761178,3348981.429693,3698328.630481
36,187477.200000,8,-3961767.630000,3349008.712000,3698309.780000,67.880110,-3961811.348529,3348967.045390,3698353.408086,65.783782,-3961802.886168,3348962.566472,3698345.927127,58.305692,-3961787.681793,3348953.032849,3698317.093556,38.083455,-3961788.905789,3348981.471215,3698328.568784,38.083455,-3961788.905789,3348981.471215,3698328.568784
37,187477.399999,9,-3961767.630000,3349008.712000,3698309.780000,53.641010,-3961782.403839,3348954.254003,3698312.621854,56.451654,-3961792.817602,3348959.606814,3698322.026381,58.113942,-3961787.929709,3348953.296930,3698316.736856,38.373383,-3961789.372916,3348981.546073,3698329.058925,38.373383,-3961789.372916,3348981.546073,3698329.058925
38,187477.600000,9,-3961767.630000,3349008.712000,3698309.780000,53.555816,-3961782.150092,3348954.127076,3698312.336614,54.475144,-3961787.391945,3348957.073720,3698315.887450,57.803185,-3961787.129103,3348953.019632,3698316.088495,38.124203,-3961789.312504,3348981.696109,3698328.773697,38.124203,-3961789.312504,3348981.696109,3698328.773697
39,187477.799999,8,-3961767.630000,3349008.712000,3698309.780000,67.764257,-3961811.384981,3348967.169612,3698353.346322,62.335945,-3961795.960910,3348959.580117,3698336.718534,57.726750,-3961787.528470,3348953.416809,3698316.356048,38.039915,-3961789.503643,3348981.955989,3698328.951506,38.039915,-3961789.503643,3348981.955989,3698328.951506
40,187478.000000,8,-3961767.630000,3349008.712000,3698309.780000,67.715440,-3961811.308829,3348967.187001,3698353.329646,65.675216,-3961803.144151,3348962.860808,3698346.055501,58.297994,-3961787.836422,3348953.168917,3698317.226143,38.203962,-3961789.708642,3348982.238008,3698329.887962,38.203962,-3961789.708642,3348982.238008,3698329.887962
41,187478.200000,9,-3961767.630000,3349008.712000,3698309.780000,53.993533,-3961782.673707,3348954.187515,3698313.295723,56.751231,-3961793.151218,3348959.637742,3698322.692296,58.386064,-3961787.697941,3348952.800780,3698316.598397,38.391623,-3961789.737829,3348982.201888,3698330.300455,38.391623,-3961789.737829,3348982.201888,3698330.300455
42,187478.399999,9,-3961767.630000,3349008.712000,3698309.780000,54.176890,-3961782.922397,3348954.229716,3698313.695065,55.035235,-3961787.989379,3348957.098967,3698317.111764,58.474838,-3961787.935124,3348952.844655,3698316.645474,38.087762,-3961789.904983,3348982.452681,3698329.858154,38.087762,-3961789.904983,3348982.452681,3698329.858154
43,187478.600000,9,-3961767.630000,3349008.712000,3698309.780000,54.115316,-3961782.962805,3348954.279677,3698313.541586,54.443921,-3961785.347214,3348955.670642,3698314.983842,58.654097,-3961787.788902,3348952.492916,3698316.455954,38.034792,-3961790.666661,3348982.722979,3698329.481356,38.034792,-3961790.666661,3348982.722979,3698329.481356
44,187478.799999,9,-3961767.630000,3349008.712000,3698309.780000,54.832724,-3961784.565645,3348955.039515,3698315.889421,54.738598,-3961784.762859,3348955.210327,3698315.725040,58.587250,-3961787.754718,3348952.666912,3698316.846573,37.514291,-3961790.074750,3348982.844067,3698328.949946,37.514291,-3961790.074750,3348982.844067,3698328.949946
45,187479.000000,9,-3961767.630000,3349008.712000,3698309.780000,54.834484,-3961784.201981,3348954.746065,3698315.599492,54.819250,-3961784.403208,3348954.895134,3698315.662210,58.578329,-3961786.930534,3348952.242418,3698316.946596,37.786527,-3961789.952091,3348982.427940,3698328.853952,37.786527,-3961789.952091,3348982.427940,3698328.853952
46,187479.200000,9,-3961767.630000,3349008.712000,3698309.780000,54.763029,-3961784.040543,3348954.686738,3698315.423560,54.773044,-3961784.151453,3348954.754082,3698315.480756,58.142980,-3961786.211338,3348952.083500,3698316.048230,37.922561,-3961789.545619,3348982.115774,3698328.956902,37.922561,-3961789.545619,3348982.115774,3698328.956902
47,187479.399999,9,-3961767.630000,3349008.712000,3698309.780000,54.531208,-3961784.095727,3348954.928954,3698315.218374,54.566150,-3961784.059803,3348954.871781,3698315.232293,57.614319,-3961786.033141,3348952.694390,3698316.325751,37.709124,-3961790.005466,3348982.538627,3698328.838941,37.709124,-3961790.005466,3348982.538627,3698328.838941
48,187479.600000,9,-3961767.630000,3349008.712000,3698309.780000,54.491125,-3961783.715975,3348954.685067,3698314.958133,54.503532,-3961783.819556,3348954.746702,3698315.018909,57.516235,-3961785.539203,3348952.576345,3698316.457347,37.504702,-3961789.623933,3348982.441999,3698328.443407,37.504702,-3961789.623933,3348982.441999,3698328.443407
49,187479.799999,9,-3961767.630000,3349008.712000,3698309.780000,54.205985,-3961783.782904,3348954.943252,3698314.572380,54.252680,-3961783.754499,3348954.887626,3698314.624469,57.557073,-3961785.581924,3348952.579675,3698316.547569,37.662975,-3961790.051744,3348982.410267,3698328.305682,37.662975,-3961790.051744,3348982.410267,3698328.305682
50,187480.000000,9,-3961767.630000,3349008.712000,3698309.780000,54.296506,-3961784.713391,3348955.612318,3698315.413180,54.233199,-3961784.161181,3348955.265590,3698315.043309,57.172004,-3961785.719449,3348952.899315,3698315.851400,37.498387,-3961790.051526,3348982.540945,3698328.139678,37.498387,-3961790.051526,3348982.540945,3698328.139678
51,187480.200000,9,-3961767.630000,3349008.712000,3698309.780000,54.347625,-3961785.285995,3348956.045587,3698315.984050,54.267554,-3961784.669232,3348955.668788,3698315.568523,56.382109,-3961785.277680,3348953.324564,3698314.970680,37.697753,-3961789.634545,3348982.313371,3698328.682071,37.697753,-3961789.634545,3348982.313371,3698328.682071
52,187480.399999,9,-3961767.630000,3349008.712000,3698309.780000,54.225159,-3961785.053668,3348955.976216,3698315.705100,54.208970,-3961784.838778,3348955.839877,3698315.589907,55.937256,-3961785.429561,3348953.792246,3698314.460859,37.695581,-3961789.858981,3348982.568948,3698329.053756,37.695581,-3961789.858981,3348982.568948,3698329.053756
53,187480.600000,9,-3961767.630000,3349008.712000,3698309.780000,54.337816,-3961785.180862,3348955.978448,3698315.918728,54.289579,-3961784.984706,3348955.881137,3698315.771798,55.662538,-3961785.351952,3348953.979679,3698314.128143,37.807267,-3961789.648575,3348982.439278,3698329.305858,37.807267,-3961789.648575,3348982.439278,3698329.305858
54,187480.799999,9,-3961767.630000,3349008.712000,3698309.780000,54.082372,-3961785.247729,3348956.226053,3698315.607399,54.105103,-3961785.108489,3348956.112211,3698315.580227,55.470170,-3961785.381614,3348954.100559,3698313.678574,37.947529,-3961789.960461,3348982.595495,3698329.740976,37.947529,-3961789.960461,3348982.595495,3698329.740976
55,187481.000000,9,-3961767.630000,3349008.712000,3698309.780000,54.209590,-3961785.293645,3348956.196394,3698315.926797,54.167991,-3961785.162887,3348956.133286,3698315.797510,55.344832,-3961785.933882,3348954.650965,3698313.957777,37.927991,-3961790.327831,3348982.758121,3698329.660625,37.927991,-3961790.327831,3348982.758121,3698329.660625
56,187481.200000,9,-3961767.630000,3349008.712000,3698309.780000,54.203546,-3961784.903974,3348955.873127,3698315.557142,54.199055,-3961785.023598,3348955.967865,3698315.630531,54.771768,-3961785.065757,3348954.832197,3698313.980952,37.665624,-3961790.087014,3348982.955657,3698329.666544,37.665624,-3961790.087014,3348982.955657,3698329.666544
57,187481.399999,9,-3961767.630000,3349008.712000,3698309.780000,54.338309,-3961785.143253,3348955.972873,3698315.972026,54.293993,-3961785.044185,3348955.934618,3698315.855597,53.814817,-3961784.888288,3348955.942905,3698314.245935,37.743876,-3961789.924770,3348982.791546,3698329.675267,37.743876,-3961789.924770,3348982.791546,3698329.675267
58,187481.600000,9,-3961767.630000,3349008.713000,3698309.779000,54.762179,-3961785.568423,3348955.924643,3698316.677988,54.644983,-3961785.286303,3348955.823626,3698316.408277,53.461808,-3961785.326340,3348956.608692,3698314.208727,37.993860,-3961789.993050,3348982.616484,3698329.886044,37.993860,-3961789.993050,3348982.616484,3698329.886044
59,187481.799999,9,-3961767.630000,3349008.715000,3698309.777000,54.851170,-3961785.558846,3348955.875021,3698316.867529,54.795060,-3961785.398838,3348955.805636,3698316.715256,53.319201,-3961784.933824,3348956.514411,3698314.073573,37.891723,-3961790.146450,3348982.726614,3698329.677901,37.891723,-3961790.146450,3348982.726614,3698329.677901
60,187482.000000,9,-3961767.629000,3349008.718000,3698309.775000,54.838612,-3961785.337334,3348955.705911,3698316.656422,54.831759,-3961785.363339,3348955.733618,3698316.673139,53.395191,-3961785.198685,3348956.482885,3698313.710877,37.565527,-3961790.159598,3348982.941978,3698329.228801,37.565527,-3961790.159598,3348982.941978,3698329.228801
61,187482.200000,9,-3961767.617000,3349008.725000,3698309.780000,54.456171,-3961784.295334,3348955.151880,3698315.225442,54.573909,-3961784.852201,3348955.464936,3698315.689187,53.800986,-3961785.468454,3348956.263083,3698314.048991,37.408158,-3961790.320000,3348983.118180,3698328.981474,37.408158,-3961790.320000,3348983.118180,3698328.981474
62,187482.399999,9,-3961767.594000,3349008.737000,3698309.794000,54.789011,-3961784.640345,3348955.215749,3698316.026443,54.744859,-3961784.681490,3348955.269385,3698315.956781,53.743841,-3961785.442030,3348956.332166,3698314.030164,37.511255,-3961790.111498,3348983.016876,3698329.243608,37.511255,-3961790.111498,3348983.016876,3698329.243608
63,187482.600000,9,-3961767.560000,3349008.753000,3698309.815000,55.636864,-3961785.437914,3348955.201410,3698317.685923,55.423787,-3961784.980778,3348955.038417,3698317.167114,53.937560,-3961785.166018,3348956.109754,3698314.529912,37.794436,-3961790.520183,3348982.962945,3698329.395980,37.794436,-3961790.520183,3348982.962945,3698329.395980
64,187482.799999,9,-3961767.513000,3349008.774000,3698309.845000,56.095975,-3961784.875915,3348954.160193,3698316.969914,56.001568,-3961785.009549,3348954.375010,3698317.064652,54.086509,-3961785.249890,3348956.072388,3698314.711854,38.099563,-3961790.476204,3348982.708154,3698329.634255,38.099563,-3961790.476204,3348982.708154,3698329.634255
65,187483.000000,9,-3961767.456000,3349008.799000,3698309.883000,56.095005,-3961784.420280,3348953.710705,3698316.195081,56.126477,-3961784.761957,3348953.953429,3698316.487986,54.433515,-3961785.534723,3348955.765231,3698314.328307,38.103259,-3961790.471743,3348982.687866,3698329.503171,38.103259,-3961790.471743,3348982.687866,3698329.503171
66,187483.200000,9,-3961767.386000,3349008.827000,3698309.929000,55.887705,-3961782.388287,3348952.066029,3698313.556462,56.055051,-3961783.657458,3348952.878643,3698314.545125,54.465707,-3961785.110519,3348955.403097,3698313.851026,37.962402,-3961790.503225,3348982.700516,3698328.948347,37.962402,-3961790.503225,3348982.700516,3698328.948347
67,187483.399999,8,-3961767.308000,3349008.859000,3698309.982000,65.483644,-3961779.218406,3348938.304321,3698311.262571,63.599172,-3961782.471005,3348942.871924,3698313.030645,54.446525,-3961784.980513,3348955.361872,3698313.663978,38.228881,-3961790.585299,3348982.383819,3698328.695486,38.228881,-3961790.585299,3348982.383819,3698328.695486
68,187483.600000,9,-3961767.218000,3349008.894000,3698310.043000,55.622576,-3961779.145272,3348949.681476,3698310.225816,57.086594,-3961779.731277,3348948.445866,3698310.797392,54.809043,-3961784.721877,3348954.665425,3698312.984338,38.047499,-3961790.486230,3348982.509161,3698328.433763,38.047499,-3961790.486230,3348982.509161,3698328.433763
69,187483.799999,9,-3961767.119000,3349008.932000,3698310.112000,54.935200,-3961777.987247,3348949.687511,3698309.459130,55.353988,-3961778.441138,3348949.540707,3698309.773165,55.018094,-3961785.076887,3348954.842898,3698313.499754,38.036487,-3961790.543795,3348982.623283,3698328.459374,38.036487,-3961790.543795,3348982.623283,3698328.459374
70,187484.000000,9,-3961767.009000,3349008.970000,3698310.191000,54.539219,-3961778.080790,3348950.230816,3698309.263388,54.681413,-3961778.032501,3348950.038305,3698309.277230,55.028943,-3961785.233969,3348955.039034,3698313.623586,38.231487,-3961790.349313,3348982.421041,3698328.626259,38.231487,-3961790.349313,3348982.421041,3698328.626259
71,187484.200000,9,-3961766.890000,3349009.006000,3698310.282000,54.687462,-3961778.107117,3348950.243318,3698309.593085,54.666070,-3961777.884417,3348950.086385,3698309.404010,55.000639,-3961785.274555,3348955.091955,3698313.281798,38.396240,-3961790.030042,3348982.034566,3698328.366075,38.396240,-3961790.030042,3348982.034566,3698328.366075
72,187484.399999,9,-3961766.765000,3349009.047000,3698310.375000,54.883613,-3961778.162204,3348950.266501,3698310.069392,54.816480,-3961777.845182,3348950.083182,3698309.788269,54.746086,-3961784.766927,3348955.317669,3698313.795932,38.480785,-3961789.734202,3348981.868239,3698328.399379,38.480785,-3961789.734202,3348981.868239,3698328.399379
73,187484.600000,9,-3961766.630000,3349009.088000,3698310.477000,55.604498,-3961778.695551,3348949.974709,3698310.657670,55.426812,-3961778.194640,3348949.792504,3698310.289328,54.409880,-3961784.268394,3348955.521686,3698313.815110,38.160144,-3961789.350066,3348982.054735,3698328.208398,38.160144,-3961789.350066,3348982.054735,3698328.208398
74,187484.799999,9,-3961766.477000,3349009.133000,3698310.592000,56.185412,-3961779.744435,3348950.278049,3698311.671853,55.985467,-3961778.908914,3348949.870594,3698311.094902,54.841318,-3961784.576299,3348955.333706,3698313.958841,38.458121,-3961789.575348,3348981.801605,3698327.930480,38.458121,-3961789.575348,3348981.801605,3698327.930480
75,187485.000000,9,-3961766.297000,3349009.179000,3698310.731000,55.834846,-3961779.065994,3348950.458218,3698311.812752,55.839237,-3961778.779933,3348950.208594,3698311.535218,55.425621,-3961784.209161,3348954.514700,3698313.887671,38.528347,-3961789.718824,3348981.982140,3698328.212868,38.528347,-3961789.718824,3348981.982140,3698328.212868
76,187485.200000,9,-3961766.092000,3349009.218000,3698310.906000,55.297739,-3961777.630215,3348950.300111,3698311.514285,55.415865,-3961777.913223,3348950.333882,3698311.565214,55.449772,-3961783.974808,3348954.494958,3698314.015887,38.548884,-3961789.729230,3348981.940000,3698327.892606,38.548884,-3961789.729230,3348981.940000,3698327.892606
77,187485.399999,9,-3961765.861000,3349009.273000,3698311.108000,55.032225,-3961776.385345,3348949.743245,3698310.534275,55.158940,-3961776.952277,3348950.015748,3698310.879648,55.716995,-3961783.881471,3348954.224028,3698313.879062,38.694399,-3961789.703170,3348981.950507,3698328.150353,38.694399,-3961789.703170,3348981.950507,3698328.150353
78,187485.600000,9,-3961765.600000,3349009.337000,3698311.332000,54.874598,-3961775.576816,3348949.623388,3698310.546964,54.964935,-3961775.992727,3348949.796474,3698310.703003,55.783312,-3961784.182590,3348954.482794,3698313.845817,38.715468,-3961789.475548,3348981.940006,3698328.172016,38.715468,-3961789.475548,3348981.940006,3698328.172016
79,187485.799999,9,-3961765.309000,3349009.401000,3698311.578000,55.142590,-3961775.701765,3348949.864961,3698311.649245,55.098591,-3961775.570651,3348949.762776,3698311.386016,56.333436,-3961783.921288,3348954.010885,3698314.502133,38.788320,-3961789.299130,3348981.977482,3698328.412686,38.788320,-3961789.299130,3348981.977482,3698328.412686
