run,epoch_index,gps_time_s,gps_satellite_count,multi_satellite_count,extra_satellite_count,gps_residual_p95_abs_m,gps_residual_max_abs_m,multi_residual_p95_abs_m,multi_residual_max_abs_m,multi_bias_range_m,solution_gap_2d_m
Odaiba,69,273381.899999,8,15,7,46.796171,49.090429,45.822051,52.262898,14.419105,20.524121
Odaiba,70,273382.000000,8,15,7,46.558419,48.699396,45.783419,51.967875,14.430391,20.752448
Odaiba,71,273382.100000,8,15,7,46.811458,48.890118,46.051473,52.113548,14.388599,20.724100
Odaiba,72,273382.199999,8,15,7,46.360805,48.140259,45.889056,51.325269,14.574075,20.571499
Odaiba,73,273382.300000,8,15,7,46.663367,48.586468,45.960631,51.613040,14.602611,20.370913
Odaiba,74,273382.399999,8,15,7,46.242716,48.123373,45.725935,51.155811,14.329180,20.571759
Odaiba,75,273382.500000,8,15,7,46.337206,48.333232,45.643297,51.285107,14.378760,20.360726
Odaiba,76,273382.600000,8,15,7,46.030727,47.867584,45.543866,50.969348,14.389282,20.596617
Odaiba,77,273382.699999,8,15,7,46.058521,47.946855,45.521789,51.039285,14.350274,20.530495
Odaiba,78,273382.800000,8,15,7,45.876326,47.797115,45.350500,50.867770,14.575613,20.720333
Odaiba,79,273382.899999,8,15,7,45.752980,47.591562,45.438513,50.743892,14.451498,21.155853
Odaiba,80,273383.000000,8,15,7,45.861161,48.033326,45.198452,50.928211,14.951732,21.017604
Odaiba,81,273383.100000,8,15,7,45.937984,47.912941,45.475609,50.891923,14.889408,21.106509
Odaiba,82,273383.199999,8,15,7,47.174837,49.685198,46.087121,52.345939,15.147550,20.691543
Odaiba,83,273383.300000,8,15,7,47.387899,50.365789,45.925123,52.973521,14.913764,20.907992
Odaiba,84,273383.399999,8,15,7,47.766083,50.703888,46.196329,53.435963,14.962401,21.208095
Odaiba,85,273383.500000,8,15,7,47.414290,49.923582,46.255313,52.743263,15.068311,21.298646
Odaiba,86,273383.600000,8,15,7,46.859607,48.870523,46.348814,51.792907,15.380867,21.331747
Odaiba,87,273383.699999,8,15,7,47.345045,48.883991,47.052147,51.669468,15.497953,21.256885
Odaiba,88,273383.800000,7,14,7,29.227965,33.816897,34.647036,40.057510,19.688959,15.621321
Odaiba,89,273383.899999,7,14,7,29.229514,33.895426,34.545747,39.859448,19.712239,15.477715
Odaiba,90,273384.000000,7,14,7,29.041117,33.626133,34.485269,39.796824,19.367772,15.918089
Odaiba,91,273384.100000,7,14,7,29.017440,33.489458,34.586295,39.759894,19.401812,15.801127
Odaiba,92,273384.199999,7,14,7,28.543762,32.811511,34.271675,39.052454,19.816190,15.709454
Odaiba,93,273384.300000,7,14,7,28.577080,32.939937,34.150336,39.037855,19.830612,15.541884
Odaiba,94,273384.399999,7,14,7,29.071199,33.422970,34.362478,39.536376,19.604475,15.529955
Odaiba,95,273384.500000,7,14,7,29.033559,33.421975,34.276119,39.432387,19.523953,15.476505
Odaiba,96,273384.600000,7,13,6,29.054361,33.397763,33.362766,38.646577,22.263224,7.871164
Odaiba,97,273384.699999,7,13,6,28.823741,32.939970,33.389181,38.269399,22.381097,8.053221
Odaiba,98,273384.800000,7,13,6,28.958908,33.039832,33.545219,38.278759,21.989884,8.109608
Odaiba,99,273384.899999,7,13,6,28.732655,32.641439,33.455818,37.896284,22.041110,8.160439
Odaiba,100,273385.000000,7,13,6,29.035109,32.970453,33.759737,38.589284,22.145778,8.591327
Odaiba,101,273385.100000,7,13,6,28.959484,32.844993,33.764295,38.383004,21.996886,8.634649
Odaiba,102,273385.199999,7,13,6,28.707708,32.588041,33.495023,38.144188,22.130776,8.522120
Odaiba,103,273385.300000,7,13,6,28.464604,32.115153,33.450667,37.627658,22.135785,8.580492
Odaiba,104,273385.399999,7,13,6,28.412906,31.880834,33.158773,37.207663,22.316799,8.242728
Odaiba,105,273385.500000,7,13,6,28.318448,31.698914,33.094384,37.053437,22.361243,8.284151
Odaiba,106,273385.600000,7,13,6,28.154450,31.241114,33.087411,36.660097,22.680321,8.044519
Odaiba,107,273385.699999,7,13,6,27.921234,30.758359,33.094801,36.220595,22.691029,8.091832
Odaiba,108,273385.800000,7,13,6,28.275764,31.188975,33.659660,37.031353,22.619081,8.345165
Odaiba,109,273385.899999,7,13,6,28.248337,31.062985,33.657297,36.932056,22.570008,8.240799
Odaiba,110,273386.000000,7,13,6,28.308836,31.004022,33.822558,37.085306,23.024919,8.465237
Odaiba,111,273386.100000,7,13,6,28.224824,30.839132,33.818382,36.904324,23.085830,8.505577
Odaiba,112,273386.199999,7,13,6,27.934604,30.388420,33.163820,35.970479,23.642722,7.956944
Odaiba,113,273386.300000,7,13,6,27.834554,30.185258,33.129770,35.818151,23.787215,7.941052
Odaiba,114,273386.399999,7,13,6,27.773798,29.979154,33.413958,35.816038,23.223956,8.589175
Odaiba,115,273386.500000,7,13,6,27.741371,29.886090,33.317009,35.804240,23.269817,8.777452
Odaiba,116,273386.600000,7,13,6,27.842060,30.104502,33.529601,35.968255,23.176248,8.688637
Odaiba,117,273386.699999,7,13,6,27.879743,30.116095,33.531966,35.980285,23.200227,8.816281
Odaiba,118,273386.800000,7,13,6,28.172439,30.342496,33.563097,36.169832,23.224106,8.630275
Odaiba,119,273386.899999,7,13,6,28.270183,30.387577,33.540267,36.272392,23.387382,8.630570
Odaiba,120,273387.000000,7,13,6,27.820802,29.697577,33.492510,35.822057,23.504050,8.810542
Odaiba,121,273387.100000,7,13,6,27.692789,29.543953,33.484729,35.682587,23.386654,9.099988
Odaiba,122,273387.199999,7,13,6,28.088580,30.108338,33.380795,36.290488,23.597119,9.197820
Odaiba,123,273387.300000,7,13,6,27.836490,29.689003,33.205694,35.919481,23.669017,9.464676
Odaiba,124,273387.399999,7,13,6,27.945963,29.892732,33.229691,35.942679,24.079925,9.590565
Odaiba,125,273387.500000,7,13,6,27.997575,29.948900,33.303034,35.880809,24.084824,9.353630
Odaiba,126,273387.600000,7,13,6,27.849296,29.665894,32.904331,35.495925,24.321060,9.127663
Odaiba,127,273387.699999,7,13,6,27.939343,29.831128,33.002421,35.673594,24.245382,8.953228
Odaiba,128,273387.800000,7,13,6,27.986477,30.038311,33.562753,36.164376,23.375735,9.127956
Odaiba,129,273387.899999,7,13,6,27.965520,30.040739,33.661825,36.149008,23.254600,9.149111
Odaiba,130,273388.000000,7,13,6,28.029787,30.182430,33.521919,36.138561,23.576113,8.893560
Odaiba,131,273388.100000,7,13,6,28.001903,30.261147,33.399220,36.093943,23.598894,8.980018
Odaiba,132,273388.199999,7,13,6,28.152271,30.473678,33.460230,36.422913,23.750908,9.200108
Odaiba,133,273388.300000,7,13,6,28.115824,30.410680,33.476174,36.418606,23.739731,9.283311
Odaiba,134,273388.399999,7,13,6,28.149995,30.445886,33.618169,36.438074,23.597200,9.363243
Odaiba,135,273388.500000,7,13,6,28.117136,30.317193,33.573749,36.358283,23.736726,9.561758
Odaiba,136,273388.600000,7,13,6,27.692867,29.570296,33.174586,35.435083,23.542931,9.608039
Odaiba,137,273388.699999,7,13,6,27.685053,29.551592,33.084864,35.426978,23.647343,9.712861
Odaiba,138,273388.800000,7,13,6,27.660135,29.585422,33.282385,35.524872,23.238576,9.691775
Odaiba,139,273388.899999,7,13,6,27.664223,29.761960,33.252258,35.615932,23.125650,9.645592
Odaiba,140,273389.000000,7,13,6,27.647233,29.941081,33.035805,35.605922,23.148196,9.529408
Odaiba,141,273389.100000,7,13,6,27.589668,30.033275,32.988528,35.601267,23.001247,9.401498
Odaiba,142,273389.199999,7,13,6,27.527295,30.040743,32.847740,35.621310,22.841579,9.382878
Odaiba,143,273389.300000,7,13,6,27.324129,29.961462,32.837689,35.337125,22.730526,9.615078
Odaiba,144,273389.399999,6,12,6,20.874350,21.082297,28.246971,31.015368,20.525643,17.581206
Odaiba,145,273389.500000,6,12,6,20.843991,20.991257,28.288140,31.215397,20.521722,17.494483
Odaiba,146,273389.600000,6,12,6,20.761487,20.817001,28.341756,31.279519,20.366680,17.322211
Odaiba,147,273389.699999,6,12,6,20.721286,20.746573,28.371924,31.324193,20.364598,17.241655
Odaiba,148,273389.800000,6,12,6,20.815548,20.839171,28.420616,31.333065,20.368007,17.323604
Odaiba,149,273389.899999,6,12,6,20.869394,20.890080,28.365934,31.432775,20.412011,17.312809
Odaiba,150,273390.000000,6,12,6,20.818017,20.860631,28.322215,31.453542,20.579497,17.051264
Odaiba,151,273390.100000,6,12,6,20.799197,20.848979,28.287772,31.182847,20.529319,17.041545
Odaiba,152,273390.199999,6,12,6,20.828025,20.870631,28.359618,31.246658,20.640809,16.977114
Odaiba,153,273390.300000,6,12,6,20.817431,20.860147,28.403589,31.229363,20.557843,16.946632
Odaiba,154,273390.399999,6,12,6,20.695546,20.748161,28.281859,31.031238,20.486590,17.208283
Odaiba,155,273390.500000,6,12,6,20.650027,20.672586,28.354641,31.120037,20.450308,17.400466
Odaiba,156,273390.600000,6,12,6,20.583225,20.636960,28.458376,31.096283,20.230658,17.817937
Odaiba,157,273390.699999,6,12,6,20.649340,20.793363,28.355692,30.890016,20.265185,17.929221
Odaiba,158,273390.800000,6,12,6,20.514064,20.568168,28.395861,31.020238,20.320376,17.929385
Odaiba,159,273390.899999,6,12,6,20.545571,20.598616,28.375499,31.046246,20.341689,17.937178
Odaiba,160,273391.000000,7,13,6,45.277327,47.427649,42.969144,46.070891,20.037925,12.920696
Odaiba,161,273391.100000,7,13,6,45.622944,48.030762,42.992298,46.590895,20.095798,12.866663
Odaiba,162,273391.199999,7,13,6,46.220063,48.629298,43.471061,47.108813,19.952043,12.952124
Odaiba,163,273391.300000,7,13,6,46.192554,48.477273,43.444542,46.924812,19.862950,12.996018
Odaiba,164,273391.399999,7,13,6,46.019567,48.391390,43.224006,46.904371,19.903016,12.603598
Odaiba,165,273391.500000,7,13,6,46.161603,48.607891,43.245190,47.109378,19.862214,12.669736
Odaiba,166,273391.600000,7,13,6,46.358261,49.042354,43.194951,47.483429,20.143695,12.811806
Odaiba,167,273391.699999,7,13,6,46.198534,48.574286,43.109914,47.074628,20.134141,12.802973
Odaiba,168,273391.800000,7,13,6,46.339073,48.950329,43.396898,47.311906,20.156236,12.748269
Odaiba,169,273391.899999,7,13,6,46.440041,49.056125,43.384210,47.386275,20.152358,12.861205
Odaiba,170,273392.000000,7,13,6,46.303938,48.784176,43.425748,47.113365,20.201417,12.570063
Odaiba,171,273392.100000,7,13,6,46.209944,48.592349,43.426453,46.944504,20.172527,12.567903
Odaiba,172,273392.200000,7,13,6,46.390893,48.813960,43.527511,47.151038,19.983705,12.676106
Odaiba,173,273392.299999,7,13,6,46.774828,49.603105,43.587786,47.825514,20.072626,12.844865
Odaiba,174,273392.399999,7,13,6,47.835520,51.415242,43.344173,49.317238,20.302737,13.633670
Odaiba,175,273392.500000,7,13,6,47.973635,51.414564,43.233364,49.334056,20.343409,13.866596
Odaiba,176,273392.600000,7,13,6,48.871498,52.699075,43.558536,50.425487,20.077149,13.927382
Odaiba,177,273392.700000,7,13,6,49.861358,54.223379,43.906376,51.704167,20.065365,14.134289
Odaiba,178,273392.799999,8,14,6,50.166264,56.131542,42.992481,52.223462,19.573195,7.351492
Odaiba,179,273392.899999,8,14,6,50.453194,56.897419,42.910204,52.860113,19.614045,7.292190
Odaiba,180,273393.000000,6,12,6,20.588133,20.760273,28.327277,30.825828,20.021341,17.443380
Odaiba,181,273393.100000,6,12,6,20.664492,20.866131,28.279279,30.794803,20.008503,17.324223
Odaiba,182,273393.200000,6,12,6,20.786430,20.957834,28.581159,31.159648,20.283748,17.876295
Odaiba,183,273393.299999,6,12,6,20.704835,20.814956,28.606449,31.287919,20.300183,17.931014
Odaiba,184,273393.399999,6,12,6,20.512890,20.618662,28.546299,31.275520,20.646804,18.346091
Odaiba,185,273393.500000,6,12,6,20.549283,20.714955,28.509333,31.122172,20.636738,18.406538
Odaiba,186,273393.600000,6,12,6,20.786431,20.888683,28.668398,31.480623,20.440853,18.240511
Odaiba,187,273393.700000,6,12,6,20.767776,20.869875,28.675537,31.487665,20.456228,18.325596
Odaiba,188,273393.799999,6,12,6,20.802298,20.901283,28.502230,31.535954,20.329614,17.991076
Odaiba,189,273393.899999,6,12,6,20.807513,20.941087,28.499031,31.379851,20.302429,17.818735
Odaiba,190,273394.000000,6,12,6,20.616223,20.689612,28.488535,31.338801,20.213268,17.593125
Odaiba,191,273394.100000,6,12,6,20.579929,20.591948,28.494667,31.535045,20.326595,17.738387
Odaiba,192,273394.200000,6,12,6,20.281220,20.357864,28.477832,31.015524,20.347236,17.724262
Odaiba,193,273394.299999,6,12,6,20.284397,20.363138,28.554308,30.973272,20.278830,17.698916
Odaiba,194,273394.399999,6,12,6,20.289270,20.398343,28.483013,30.988087,20.227846,17.718422
Odaiba,195,273394.500000,6,12,6,20.302250,20.411355,28.498393,30.989063,20.227928,17.714124
Odaiba,196,273394.600000,6,12,6,20.456082,20.596368,28.488681,30.883087,19.878341,17.630715
Odaiba,197,273394.700000,6,12,6,20.440497,20.580813,28.488204,30.878785,19.855164,17.642030
Odaiba,198,273394.799999,6,12,6,20.316640,20.397243,28.385348,31.013355,20.109001,17.757403
Odaiba,199,273394.899999,6,12,6,20.336913,20.476287,28.353137,30.898277,20.061987,17.884921
Odaiba,200,273395.000000,6,12,6,20.323157,20.521370,28.300090,30.752114,20.094874,18.093184
Odaiba,201,273395.100000,6,12,6,20.266022,20.435218,28.310957,30.807675,20.169698,18.240510
Odaiba,202,273395.200000,6,12,6,20.300415,20.440880,28.526415,31.043758,20.308959,18.448701
Odaiba,203,273395.299999,6,12,6,20.352527,20.521812,28.453812,31.043896,20.328442,18.494433
Odaiba,204,273395.399999,6,12,6,20.384195,20.524224,28.472554,31.238726,20.549194,18.590746
Odaiba,205,273395.500000,6,12,6,20.530985,20.729944,28.451866,31.155230,20.479713,18.430222
Odaiba,206,273395.600000,6,12,6,20.709664,20.938886,28.415735,31.072598,20.460799,17.935163
Odaiba,207,273395.700000,6,12,6,20.693650,20.893003,28.476237,31.063725,20.431644,17.846237
Odaiba,208,273395.799999,6,12,6,20.845120,21.046573,28.479263,31.277798,20.468199,18.099563
Odaiba,209,273395.899999,6,12,6,20.825039,20.996400,28.489257,31.424285,20.468746,18.167477
Odaiba,210,273396.000000,6,12,6,20.483562,20.623794,28.541516,31.204369,20.584114,18.175222
Odaiba,211,273396.100000,6,12,6,20.505607,20.644631,28.589502,31.229212,20.524812,18.290621
Odaiba,212,273396.200000,6,12,6,20.491732,20.659204,28.272620,31.030962,20.429172,17.943572
Odaiba,213,273396.299999,6,12,6,20.439582,20.636655,28.299808,30.847808,20.383107,17.997315
Odaiba,214,273396.399999,6,12,6,20.541720,20.798396,28.265920,30.750697,20.268442,17.882091
Odaiba,215,273396.500000,6,12,6,20.488688,20.685105,28.327615,30.901954,20.265098,17.957456
Odaiba,216,273396.600000,6,12,6,20.516427,20.681227,28.454040,31.083069,20.461630,18.132496
Odaiba,217,273396.700000,6,12,6,20.501937,20.697680,28.461310,30.933543,20.352118,17.840296
Odaiba,218,273396.799999,6,12,6,20.622547,20.849533,28.315873,30.929102,20.373714,17.834544
Odaiba,219,273396.899999,6,12,6,20.821223,21.232132,28.205256,30.546292,20.315189,17.991840
Odaiba,220,273397.000000,6,12,6,20.938635,21.442738,28.083119,30.363534,19.986212,17.899663
Odaiba,221,273397.100000,6,12,6,20.953046,21.457486,28.035180,30.425925,20.014077,17.900468
Odaiba,222,273397.200000,6,12,6,21.132390,21.768011,28.016244,30.289571,19.962021,18.034517
Odaiba,223,273397.299999,6,12,6,21.378000,22.180865,27.812012,30.120336,20.003836,18.278669
Odaiba,224,273397.399999,6,12,6,20.884841,21.804786,27.567622,29.291520,19.780469,18.332263
Odaiba,225,273397.500000,6,12,6,20.524154,21.172156,27.897524,29.646647,19.741688,18.056551
Odaiba,226,273397.600000,6,12,6,21.089309,21.790144,27.930637,30.058822,20.025119,18.120540
Odaiba,227,273397.700000,6,12,6,20.964995,21.650943,27.965068,29.913740,20.003135,17.994866
Odaiba,228,273397.799999,6,12,6,21.412152,22.239869,27.823558,29.897105,20.102447,18.008258
Odaiba,229,273397.899999,6,12,6,21.244900,21.913562,27.960693,30.210800,20.113677,17.955042
Odaiba,230,273398.000000,6,12,6,21.177878,21.849964,27.859053,30.176011,20.004535,18.103491
Odaiba,231,273398.100000,6,12,6,21.437099,22.250748,27.764642,29.986995,19.957903,18.108025
Odaiba,232,273398.200000,6,12,6,21.195326,21.711512,28.142828,30.586496,20.189601,18.090657
Odaiba,233,273398.299999,6,12,6,21.196276,21.683430,28.167623,30.725407,20.132027,18.006249
Odaiba,234,273398.399999,6,12,6,20.936413,21.258066,28.206064,30.835096,20.074508,17.838459
Odaiba,235,273398.500000,6,12,6,20.795897,21.023502,28.248891,31.004612,20.141235,17.883031
Odaiba,236,273398.600000,6,12,6,21.015103,21.307192,28.378082,31.100346,20.193541,17.900353
Odaiba,237,273398.700000,6,12,6,21.009538,21.362104,28.368776,30.887299,20.113585,17.813050
Odaiba,238,273398.799999,6,12,6,21.164319,21.519065,28.474764,31.025163,19.995366,17.780971
Odaiba,239,273398.899999,6,12,6,21.135607,21.488968,28.455973,30.957673,20.026813,17.720125
Odaiba,240,273399.000000,6,12,6,21.363183,21.720501,28.479771,31.270082,20.176932,17.928726
Odaiba,241,273399.100000,6,12,6,21.648483,22.204047,28.299351,30.940062,20.127271,17.905769
Odaiba,242,273399.200000,6,12,6,21.891920,22.684038,28.167249,30.347173,20.245049,17.722780
Odaiba,243,273399.299999,6,12,6,21.849137,22.579162,28.139001,30.468879,20.199362,17.699654
Odaiba,244,273399.399999,6,12,6,21.690810,22.451358,27.932403,30.343788,20.179105,17.806838
Odaiba,245,273399.500000,6,12,6,22.016369,23.049143,27.995301,29.803922,20.083907,17.655196
Odaiba,246,273399.600000,6,12,6,21.180546,21.855394,27.693488,29.978974,19.985530,17.576369
Odaiba,247,273399.700000,6,12,6,21.206247,21.914281,27.638367,29.986311,19.996773,17.731477
Odaiba,248,273399.799999,6,12,6,21.202213,21.968942,27.474773,29.734821,20.022481,17.726038
Odaiba,249,273399.899999,6,12,6,21.409906,22.286109,27.489389,29.611646,19.951668,17.707535
Odaiba,250,273400.000000,6,12,6,21.388878,22.264851,27.591897,29.593053,19.678000,17.936394
Odaiba,251,273400.100000,6,12,6,20.923186,21.463407,27.899467,30.154145,19.763305,18.021553
Odaiba,252,273400.200000,6,12,6,20.764905,21.236881,27.948636,30.238629,19.945586,18.014532
Odaiba,253,273400.299999,6,12,6,20.907876,21.449143,27.852481,30.195279,19.939220,18.030853
Odaiba,254,273400.399999,6,12,6,20.887134,21.429879,27.802784,30.121155,20.044420,18.027452
Odaiba,255,273400.500000,6,12,6,20.871483,21.441563,27.795948,30.006240,20.043347,18.099703
Odaiba,256,273400.600000,6,12,6,20.622784,21.093422,27.649486,29.908789,19.811819,17.807035
Odaiba,257,273400.700000,6,12,6,20.379035,20.691264,27.839669,30.111005,19.771854,17.697325
Odaiba,258,273400.799999,6,12,6,20.402140,20.593928,28.055249,30.608801,20.038081,17.719650
Odaiba,259,273400.899999,6,12,6,20.558418,20.873628,27.899420,30.445927,20.044735,17.833159
Odaiba,260,273401.000000,6,12,6,20.660508,20.884354,28.169915,30.914707,20.211471,17.844065
Odaiba,261,273401.100000,6,12,6,20.653059,20.907741,28.169279,30.809097,20.190889,17.927198
Odaiba,262,273401.200000,6,12,6,20.726082,20.949551,28.185480,31.020822,20.213054,17.927425
Odaiba,263,273401.299999,6,12,6,20.641887,20.773076,28.208851,31.250004,20.281448,17.872035
Odaiba,264,273401.399999,6,12,6,20.533916,20.606800,28.245335,31.126615,20.284934,17.579100
Odaiba,265,273401.500000,6,12,6,20.607087,20.710008,28.210063,31.102321,20.304064,17.616615
Odaiba,266,273401.600000,6,12,6,21.047338,21.244269,28.500797,31.428956,20.160903,17.831522
Odaiba,267,273401.700000,6,12,6,21.240402,21.594787,28.422811,31.087185,20.031415,17.715731
Odaiba,268,273401.799999,6,12,6,21.563350,21.987128,28.632592,31.333136,20.285785,17.953055
Odaiba,269,273401.899999,6,12,6,21.653946,22.143740,28.607416,31.254729,20.215847,18.096481
Odaiba,270,273402.000000,6,12,6,21.327958,21.716885,28.447395,31.143009,20.131694,17.993559
Odaiba,271,273402.100000,6,12,6,21.154498,21.384005,28.630086,31.409460,20.152470,17.904923
Odaiba,272,273402.200000,6,12,6,21.059502,21.225292,28.430662,31.357889,20.062079,17.632383
Odaiba,273,273402.299999,6,12,6,20.989859,21.125111,28.468793,31.382289,20.007892,17.454481
Odaiba,274,273402.399999,6,12,6,20.870492,21.035849,28.420161,31.240531,20.087134,17.713680
