city,run,config,systems,weight_scale,epoch_index,gps_tow,n_sat,error_2d,error_3d,est_x,est_y,est_z
nagoya,run1,"G,E","G,E",-,45,550389.000000,13,27.460581,44.319504,-3810280.117376,3567865.112485,3652913.319146
nagoya,run1,"G,E","G,E",-,46,550389.199999,13,27.805228,44.147180,-3810279.983942,3567864.534226,3652913.156465
nagoya,run1,"G,E","G,E",-,47,550389.400000,13,27.897106,44.390272,-3810280.109035,3567864.548867,3652913.426543
nagoya,run1,"G,E","G,E",-,48,550389.599999,13,27.678755,44.551202,-3810280.191202,3567864.925240,3652913.637596
nagoya,run1,"G,E","G,E",-,49,550389.800000,13,27.425288,44.608100,-3810280.267385,3567865.319240,3652913.648074
nagoya,run1,"G,E","G,E",-,50,550390.000000,13,28.453091,44.259462,-3810279.873068,3567863.640153,3652913.463476
nagoya,run1,"G,E","G,E",-,51,550390.199999,13,28.657024,44.129761,-3810279.744629,3567863.260533,3652913.370028
nagoya,run1,"G,E","G,E",-,52,550390.400000,13,28.853364,43.968207,-3810279.572238,3567862.856014,3652913.277022
nagoya,run1,"G,E","G,E",-,53,550390.599999,13,29.231456,43.588207,-3810279.256566,3567862.064340,3652912.908245
nagoya,run1,"G,E","G,E",-,54,550390.800000,13,28.529664,44.129585,-3810279.687507,3567863.394974,3652913.486489
nagoya,run1,"G,E","G,E",-,55,550391.000000,13,28.224552,44.551052,-3810279.939124,3567864.058423,3652913.975819
nagoya,run1,"G,E","G,E",-,56,550391.199999,13,28.285168,44.535171,-3810279.939007,3567863.974509,3652913.935326
nagoya,run1,"G,E","G,E",-,57,550391.400000,13,28.207803,44.484951,-3810279.923766,3567864.053181,3652913.873265
nagoya,run1,"G,E","G,E",-,58,550391.599999,13,28.491256,44.244865,-3810279.755496,3567863.517061,3652913.616910
nagoya,run1,"G,E","G,E",-,59,550391.800000,13,29.205662,44.100013,-3810279.546623,3567862.415052,3652913.500425
nagoya,run1,"G,E","G,E",-,60,550392.000000,13,28.747744,44.428372,-3810279.825296,3567863.273193,3652913.822949
nagoya,run1,"G,E","G,E",-,61,550392.199999,12,36.151196,54.647954,-3810284.551079,3567859.986709,3652924.454053
nagoya,run1,"G,E","G,E",-,62,550392.400000,12,36.061978,54.730994,-3810284.619633,3567860.166573,3652924.538628
nagoya,run1,"G,E","G,E",-,63,550392.599999,12,35.783886,54.951599,-3810284.819472,3567860.695843,3652924.742659
nagoya,run1,"G,E","G,E",-,64,550392.800000,12,35.709758,54.922152,-3810284.785211,3567860.767999,3652924.751109
nagoya,run1,"G,E","G,E",-,65,550393.000000,12,35.271949,55.105813,-3810284.949907,3567861.472066,3652924.956612
nagoya,run1,"G,E","G,E",-,66,550393.199999,12,34.308337,55.697633,-3810285.470972,3567863.140031,3652925.469447
nagoya,run1,"G,E","G,E",-,67,550393.400000,12,34.687425,55.530212,-3810285.267940,3567862.524021,3652925.386267
nagoya,run1,"G,E","G,E",-,68,550393.599999,12,35.202462,55.270045,-3810285.010962,3567861.666935,3652925.174901
nagoya,run1,"G,E","G,E",-,69,550393.800000,12,35.518934,54.977408,-3810284.755629,3567861.040632,3652924.925228
nagoya,run1,"G,E","G,E",-,70,550394.000000,12,34.563422,55.607455,-3810285.286602,3567862.728421,3652925.511631
nagoya,run1,"G,E","G,E",-,71,550394.199999,12,34.250953,55.766863,-3810285.407121,3567863.237132,3652925.671575
nagoya,run1,"G,E","G,E",-,72,550394.400000,12,35.003414,55.186504,-3810284.886143,3567861.849508,3652925.223745
nagoya,run1,"G,E","G,E",-,73,550394.599999,12,34.524636,55.625502,-3810285.273491,3567862.784993,3652925.563684
nagoya,run1,"G,E","G,E",-,74,550394.800000,12,34.465242,55.604173,-3810285.238874,3567862.841361,3652925.579196
nagoya,run1,"G,E","G,E",-,75,550395.000000,12,34.482800,55.679743,-3810285.252024,3567862.863989,3652925.686716
nagoya,run1,"G,E","G,E",-,76,550395.199999,12,34.679327,55.426404,-3810285.044549,3567862.430721,3652925.488568
nagoya,run1,"G,E","G,E",-,77,550395.400000,12,34.200087,55.655153,-3810285.256343,3567863.208703,3652925.678320
nagoya,run1,"G,E","G,E",-,78,550395.599999,12,33.000727,56.565368,-3810286.003233,3567865.356510,3652926.352168
nagoya,run1,"G,E","G,E",-,79,550395.800000,12,33.544004,56.137881,-3810285.663079,3567864.380507,3652926.041646
nagoya,run1,"G,E","G,E",-,80,550396.000000,12,33.371741,56.268632,-3810285.751747,3567864.684374,3652926.159113
nagoya,run1,"G,E","G,E",-,81,550396.199999,12,34.111237,55.764434,-3810285.333945,3567863.397072,3652925.775073
nagoya,run1,"G,E","G,E",-,82,550396.399999,12,34.249336,55.745692,-3810285.291893,3567863.204034,3652925.778674
nagoya,run1,"G,E","G,E",-,83,550396.600000,12,32.618839,56.682612,-3810286.070436,3567865.904063,3652926.472507
nagoya,run1,"G,E","G,E",-,84,550396.800000,12,32.947922,56.347114,-3810285.802447,3567865.263107,3652926.249928
nagoya,run1,"G,E","G,E",-,85,550397.000000,12,33.851688,55.796819,-3810285.350371,3567863.744781,3652925.837815
nagoya,run1,"G,E","G,E",-,86,550397.199999,12,34.172814,55.650854,-3810285.206050,3567863.230657,3652925.736533
nagoya,run1,"G,E","G,E",-,87,550397.399999,12,33.983056,55.735077,-3810285.301724,3567863.535732,3652925.781210
nagoya,run1,"G,E","G,E",-,88,550397.600000,12,34.065746,55.813159,-3810285.354609,3567863.485525,3652925.835687
nagoya,run1,"G,E","G,E",-,89,550397.800000,13,28.422236,47.399150,-3810281.294199,3567865.411099,3652917.272263
nagoya,run1,"G,E","G,E",-,90,550398.000000,13,27.904031,47.879996,-3810281.646119,3567866.401703,3652917.641357
nagoya,run1,"G,E","G,E",-,91,550398.199999,13,27.314710,48.365517,-3810281.944779,3567867.452174,3652918.058945
nagoya,run1,"G,E","G,E",-,92,550398.399999,13,27.941433,47.877079,-3810281.586188,3567866.325494,3652917.724529
nagoya,run1,"G,E","G,E",-,93,550398.600000,13,26.217902,49.166165,-3810282.484550,3567869.349253,3652918.573449
nagoya,run1,"G,E","G,E",-,94,550398.800000,13,26.632946,48.835576,-3810282.258114,3567868.613672,3652918.378563
nagoya,run1,"G,E","G,E",-,95,550399.000000,13,26.085518,49.254389,-3810282.556582,3567869.578154,3652918.601777
nagoya,run1,"G,E","G,E",-,96,550399.199999,12,10.451317,89.798873,-3810298.811645,3567921.318221,3652933.878844
nagoya,run1,"G,E","G,E",-,97,550399.399999,12,10.441662,89.900322,-3810298.897385,3567921.344887,3652933.943452
nagoya,run1,"G,E","G,E",-,98,550399.600000,12,10.467917,90.159484,-3810299.021685,3567921.538567,3652934.074478
nagoya,run1,"G,E","G,E",-,99,550399.800000,12,10.321679,90.147101,-3810299.039270,3567921.409228,3652934.189569
