city,run,window_index,epoch_count,reflection_count_mean,reflection_count_max,excess_delay_m_max_mean,excess_delay_m_max_max,excess_delay_m_p90_mean,nlos_count_mean,sat_count_mean
tokyo,run3,49,2,0.0,0,0.0,0.0,0.0,0.0,21.0
tokyo,run3,50,3,6.0,18,5.2789449368913965,15.83683481067419,5.2789449368913965,0.6666666666666666,19.333333333333332
tokyo,run3,51,2,8.0,16,12.389036836102605,24.77807367220521,12.389036836102605,0.5,16.5
tokyo,run3,52,3,7.0,21,21.41875682398677,64.2562704719603,21.41875682398677,0.0,19.666666666666668
tokyo,run3,53,2,0.0,0,0.0,0.0,0.0,0.0,17.0
tokyo,run3,54,3,0.0,0,0.0,0.0,0.0,0.0,19.333333333333332
tokyo,run3,55,2,0.0,0,0.0,0.0,0.0,0.5,25.0
tokyo,run3,56,3,0.0,0,0.0,0.0,0.0,0.0,21.333333333333332
tokyo,run3,57,2,9.0,18,19.255917765200138,38.511835530400276,19.255917765200138,0.0,18.5
tokyo,run3,58,3,8.0,24,2.7087479270994663,8.126243781298399,2.7087479270994663,0.0,23.0
tokyo,run3,59,2,0.0,0,0.0,0.0,0.0,0.0,21.0
tokyo,run3,60,3,8.0,24,5.593739442527294,16.781218327581882,5.593739442527294,0.0,24.0
tokyo,run3,61,2,0.0,0,0.0,0.0,0.0,0.0,22.0
tokyo,run3,62,3,7.666666666666667,23,5.411633084217708,16.234899252653122,5.411633084217708,0.0,16.666666666666668
tokyo,run3,63,2,14.5,15,32.03498026356101,37.408956069499254,32.03498026356101,0.5,14.5
tokyo,run3,64,3,11.0,18,16.622478537261486,25.23578841611743,16.622478537261486,1.3333333333333333,17.333333333333332
tokyo,run3,65,2,0.0,0,0.0,0.0,0.0,2.0,17.0
tokyo,run3,66,3,4.666666666666667,14,8.273675384620825,24.821026153862476,8.273675384620825,1.0,16.333333333333332
tokyo,run3,67,2,0.0,0,0.0,0.0,0.0,0.0,22.5
tokyo,run3,68,3,0.0,0,0.0,0.0,0.0,0.0,24.0
tokyo,run3,69,2,0.0,0,0.0,0.0,0.0,0.0,24.0
tokyo,run3,70,3,0.0,0,0.0,0.0,0.0,0.0,24.0
tokyo,run3,71,2,12.0,24,9.79878512583673,19.59757025167346,9.79878512583673,0.0,24.0
tokyo,run3,72,3,0.0,0,0.0,0.0,0.0,0.0,24.0
tokyo,run3,73,2,9.0,18,9.23309994675219,18.46619989350438,9.23309994675219,0.0,20.0
tokyo,run3,74,3,13.666666666666666,25,61.613508033255734,171.56715782359242,61.613508033255734,0.0,20.666666666666668
tokyo,run3,75,2,0.0,0,0.0,0.0,0.0,0.0,24.0
tokyo,run3,76,3,7.0,21,1.720664167155822,5.161992501467466,1.720664167155822,0.0,21.666666666666668
tokyo,run3,77,2,19.0,19,192.84592433832586,372.982270848006,192.84592433832586,0.5,19.0
tokyo,run3,78,3,6.0,18,3.9383347568412623,11.815004270523787,3.9383347568412623,0.0,20.333333333333332
tokyo,run3,79,2,0.0,0,0.0,0.0,0.0,0.0,20.5
tokyo,run3,80,3,0.0,0,0.0,0.0,0.0,0.0,20.333333333333332
tokyo,run3,81,2,0.0,0,0.0,0.0,0.0,0.0,24.0
tokyo,run3,82,3,0.0,0,0.0,0.0,0.0,0.0,23.333333333333332
tokyo,run3,83,2,0.0,0,0.0,0.0,0.0,0.0,25.0
tokyo,run3,84,3,3.0,9,3.6565816588699818,10.969744976609945,3.6565816588699818,0.3333333333333333,16.0
tokyo,run3,85,2,0.0,0,0.0,0.0,0.0,0.5,17.5
tokyo,run3,86,3,0.0,0,0.0,0.0,0.0,0.6666666666666666,14.666666666666666
tokyo,run3,87,2,0.0,0,0.0,0.0,0.0,0.0,18.0
tokyo,run3,88,3,0.0,0,0.0,0.0,0.0,0.0,15.0
tokyo,run3,89,2,0.0,0,0.0,0.0,0.0,0.0,17.5
tokyo,run3,90,3,0.0,0,0.0,0.0,0.0,0.3333333333333333,18.666666666666668
tokyo,run3,91,2,10.5,21,11.910140382125974,23.820280764251947,11.910140382125974,1.0,19.0
tokyo,run3,92,3,6.333333333333333,19,4.8462073629101114,14.538622088730335,4.8462073629101114,1.6666666666666667,18.333333333333332
tokyo,run3,93,2,9.0,18,304.78810028359294,609.5762005671859,304.78810028359294,1.5,17.5
tokyo,run3,94,3,4.666666666666667,14,9.015927503506342,27.047782510519028,9.015927503506342,1.3333333333333333,14.666666666666666
tokyo,run3,95,2,17.0,17,10.557670848444104,10.577013559639454,10.557670848444104,4.0,17.0
tokyo,run3,96,3,11.666666666666666,18,6.8534137432773905,10.499668877571821,6.8534137432773905,3.0,15.666666666666666
tokyo,run3,97,2,0.0,0,0.0,0.0,0.0,1.0,17.5
tokyo,run3,98,3,7.666666666666667,23,12.423220506558815,37.26966151967645,12.423220506558815,0.6666666666666666,22.333333333333332
tokyo,run3,99,2,22.0,23,32.366498751565814,32.446980472654104,32.366498751565814,0.0,22.0
tokyo,run3,100,3,7.333333333333333,22,10.709084964046875,32.12725489214063,10.709084964046875,0.0,21.666666666666668
tokyo,run3,101,2,11.5,23,17.264794554561377,34.52958910912275,17.264794554561377,0.5,21.5
